project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
Activiti,91ae935eb992cf012f208f3cbc662ccd8f37b781,ProcessInstanceLogQueryAndByteArrayTypeVariableTest,1,1,0,0,0,0,true,false,false,true,false,false
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,BaseSpringRestTestCase,0,0,0,0,0,0,true,false,false,true,true,true
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,TableDataManager,2,2,0,0,0,0,true,false,false,true,false,false
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,HistoricTaskInstanceBaseResource,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,BpmnJsonConverter,0,0,0,0,0,0,true,false,false,true,true,true
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,BpmnXMLConverter,3,3,0,0,0,0,true,false,false,true,false,false
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,DbSqlSessionFactory,4,4,0,1,1,0,true,false,false,true,false,false
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,DbSqlSession,12,12,0,1,1,0,true,false,false,true,false,false
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,SimpleResolver,1,1,0,0,0,0,true,false,false,true,false,false
Activiti,66364ce4321df5411c72f53269e4d9cc318cd140,DbSqlSession,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,1187d8ae123dae3899a052d9d8170eea783bb5df,DbSqlSession,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,78c87cca2236d7cc61570eb5d473a1a36f35ec0e,DbSqlSessionFactory,1,1,0,1,1,0,true,false,false,true,false,false
Activiti,c437978f39d2622b89b3edab2d272e4e84f15640,DbSqlSession,0,0,0,0,0,0,true,false,false,true,true,true
Activiti,1894c058e3bcf1c7c813b6d2f1a83d2307285187,BpmnXMLConverter,0,0,0,0,0,0,true,false,false,true,true,true
Activiti,36f30cfa5599552a66aa797f08523bbb8aa8f4e0,DbSqlSessionFactory,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,36f30cfa5599552a66aa797f08523bbb8aa8f4e0,DbSqlSession,0,0,0,0,0,0,true,false,false,true,true,true
Activiti,b0a0bccddb782936d5fe486df2c009e0db49cb4b,BpmnJsonConverter,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,a81b29413f27a75c4525852b9f6a71a2d46c9ba5,BpmnXMLUtil,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,4e5a6b58f5783a33db07e2914e4524b109fd3d72,ProcessDefinitionCollectionResource,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,6675bbeef23ca2343e399b16e75355bda91f8f1d,DbSqlSession,1,1,0,1,1,0,true,false,false,true,false,false
Activiti,cb0c065bd2d1c858951b0d28ee993ae73c888e95,DbSqlSession,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,14b7afa5bbc302517647aaa1493265e15e90d4cb,DbSqlSessionFactory,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,bdcbc9661e6d9efad9771f8c90b5217166596d27,CronExpression,0,0,0,0,0,0,true,false,false,true,true,true
Activiti,0c4697b1495ae377850574d9449242136502629c,ProcessDiagramGenerator,0,0,0,0,0,0,true,false,false,true,true,true
Activiti,d02071e076f49620f0bc201db569704ce478a4a5,HistoricProcessInstanceBaseResource,1,1,0,0,0,0,true,false,false,true,false,false
Activiti,d02071e076f49620f0bc201db569704ce478a4a5,HistoricTaskInstanceBaseResource,1,1,0,0,0,0,true,false,false,true,false,false
Activiti,4421b3ce469e8e69867e84e6fe4cd15c1283f090,TableDataManager,0,0,0,0,0,0,true,true,true,true,true,true
Activiti,c16df687699e6631f5b2fdbb4c718c2cfb0bd369,BaseBpmnXMLConverter,1,1,0,0,0,0,true,false,false,true,false,false
Activiti,c16df687699e6631f5b2fdbb4c718c2cfb0bd369,BpmnXMLConverter,2,2,0,0,0,0,true,false,false,true,false,false
