project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
cgeo;7fdea417f1813375b09234114ce540f2b24e0701;71ed1f870957f5f626d4c54ea8c366665db1b812;cfc1225eb;7de0bd382;main/src/cgeo/geocaching/enumerations/LogType.java;1
cgeo;b41ca6e3195dcf60a842632b37b90059b7cd9960;03464fa36c3f9c67b1373e30682ace9e85a54dec;ee7f4ea1e;1da80caa5;main/src/cgeo/geocaching/connector/gc/GCLogin.java;1
cgeo;5fcce648e200669f1ae0875c7aea9dc3a4a37574;496878826d638367c129b02e66f992202e0d36c9;6b2972bfd;786eccacb;main/src/cgeo/geocaching/CgeoApplication.java;1
cgeo;27f24a9a089308901a91a58b65e9c4bf71c1b6b4;302380944fc224af7de00dfefb5e847be347076a;b45708eba;2bc6d47bc;main/src/cgeo/geocaching/enumerations/LogType.java;1
cgeo;de8c6d044c06d8d3da5d309202c35f1321431ea0;8df3d95d50180e8130342684afadb5d8d95616ac;f86200e29;35342b286;main/src/cgeo/geocaching/enumerations/LogType.java;1
cgeo;5ad007ed7938a9b284278b34a77ec21a0061fd86;4fb870a5d8446c2d6fb7aeedac1e72327b67b961;406973173;516204d3a;main/src/cgeo/geocaching/enumerations/LogType.java;1
cgeo;ffa2e166ba13c9cace1a6a0fc98d210b42ca37b1;58ff855100a554c1be254012f055ed2a0dc7de39;c8336a554;4fb870a5d;main/src/cgeo/geocaching/enumerations/LogType.java;1
cgeo;cfdca4e9d09ba1a496d682850dc893c397c895c4;a63c73d8f71a88a235a05d331d8cc91844f37c04;fa4f4684e;bc4623016;main/src/cgeo/geocaching/network/Login.java;1
cgeo;e14bda126b991d711ebba4aad0bdba35ea24eb70;fde480c2098aebc318c433cc4143868f765dafec;90020ac88;c544c021d;main/src/cgeo/geocaching/compatibility/Compatibility.java;1
cgeo;d4b14b8ec0013d0c35f361d1851e28a87456dab3;07aed709deabdec81a08c0e15c7457450f9f03e2;9678d0014;cb82f3b62;main/src/cgeo/geocaching/cgBase.java;5
cgeo;d86925ca0efc051259a35f917753080868614f0f;e4fb6c596ba35e3ed6c7d2341ffb5e006417ec4e;924af5f8a;4226ec424;main/src/cgeo/geocaching/cgBase.java;6
cgeo;83ba46de1e195e8c93452b237df4855cfa76ae69;bb3ed391288dd80295c32da2baf1df89f562ed2d;c165e77c4;a66a4bb13;main/src/cgeo/geocaching/cgBase.java;4
cgeo;1ccf264b6d224560c9cb5fe9416ebdb43ec27a34;c18b8a290a68ccb3fc6560969603266159d15532;09dd423be;bb8db36db;src/cgeo/geocaching/cgBase.java;1
cgeo;eca1e9ec31ca0165e4b0bb7ca4c2b989efe16fee;5878215750b36147e31d4e44d39f5cee5a686a24;f94d1d66f;10b3f8f05;src/cgeo/geocaching/cgBase.java;1
cgeo;22940d838d710537e8e5c83b1d22015747fbc4e4;afbe8c5164e1157e38e0f8c4b28942cbd9fe3d41;560ce54b9;8d040c24b;src/cgeo/geocaching/cgBase.java;2
