project;timeStamp
OpenTripPlanner;0,768
OpenTripPlanner;0,807
OpenTripPlanner;0,638
OpenTripPlanner;0,625
OpenTripPlanner;0,625
OpenTripPlanner;2,222
OpenTripPlanner;2,294
OpenTripPlanner;2,196
OpenTripPlanner;2,23
OpenTripPlanner;2,196
OpenTripPlanner;0,573
OpenTripPlanner;0,605
OpenTripPlanner;0,572
OpenTripPlanner;0,574
OpenTripPlanner;0,609
OpenTripPlanner;1,953
OpenTripPlanner;2,14
OpenTripPlanner;1,925
OpenTripPlanner;1,855
OpenTripPlanner;1,903
OpenTripPlanner;0,448
OpenTripPlanner;0,448
OpenTripPlanner;0,434
OpenTripPlanner;0,432
OpenTripPlanner;0,438
OpenTripPlanner;0,48
OpenTripPlanner;0,497
OpenTripPlanner;0,491
OpenTripPlanner;0,509
OpenTripPlanner;0,489
OpenTripPlanner;0,474
OpenTripPlanner;0,473
OpenTripPlanner;0,489
OpenTripPlanner;0,491
OpenTripPlanner;0,473
OpenTripPlanner;0,546
OpenTripPlanner;0,541
OpenTripPlanner;0,61
OpenTripPlanner;0,555
OpenTripPlanner;0,548
OpenTripPlanner;0,625
OpenTripPlanner;0,63
OpenTripPlanner;0,656
OpenTripPlanner;0,648
OpenTripPlanner;0,601
jdk;1,765
jdk;1,603
jdk;1,437
jdk;1,411
jdk;1,324
jdk;0,648
jdk;0,675
jdk;0,682
jdk;0,662
jdk;0,657
jdk;0,714
jdk;0,777
jdk;0,761
jdk;0,773
jdk;0,777
jdk;0,382
jdk;0,408
jdk;0,44
jdk;0,446
jdk;0,447
jdk;0,829
jdk;0,939
jdk;0,857
jdk;0,863
jdk;0,812
jdk;1,765
jdk;1,707
jdk;1,738
jdk;1,531
jdk;1,679
jdk;0,455
jdk;0,435
jdk;0,465
jdk;0,448
jdk;0,433
jdk;0,518
jdk;0,517
jdk;0,561
jdk;0,542
jdk;0,503
jdk;0,582
jdk;0,601
jdk;0,631
jdk;0,614
jdk;0,601
jdk;0,512
jdk;0,469
jdk;0,474
