[#, project, merge commit, file, approach, timeStamp]
1,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,InsertionLevelInitializationBlockHandler,2,896
2,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,InsertionLevelInitializationBlockHandler,2,857
3,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,InsertionLevelInitializationBlockHandler,2,903
4,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,InsertionLevelInitializationBlockHandler,2,879
5,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,InsertionLevelInitializationBlockHandler,2,925
1,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,SimpleInitializationBlockHandler,2,576
2,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,SimpleInitializationBlockHandler,2,514
3,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,SimpleInitializationBlockHandler,3,282
4,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,SimpleInitializationBlockHandler,2,802
5,OpenRefine,8943ef9390238f93f8b99a0690f5652511a8db27,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenRefine/8943ef9390238f93f8b99a0690f5652511a8db27/com/google/refine/grel/ControlFunctionRegistry,SimpleInitializationBlockHandler,2,571
