project;timeStamp
OpenTripPlanner;0,627
OpenTripPlanner;0,644
OpenTripPlanner;0,649
OpenTripPlanner;0,625
OpenTripPlanner;0,635
OpenTripPlanner;2,146
OpenTripPlanner;2,15
OpenTripPlanner;2,128
OpenTripPlanner;2,147
OpenTripPlanner;2,185
OpenTripPlanner;0,573
OpenTripPlanner;0,597
OpenTripPlanner;0,602
OpenTripPlanner;0,733
OpenTripPlanner;0,619
OpenTripPlanner;1,879
OpenTripPlanner;1,829
OpenTripPlanner;1,938
OpenTripPlanner;1,836
OpenTripPlanner;1,765
OpenTripPlanner;0,458
OpenTripPlanner;0,443
OpenTripPlanner;0,428
OpenTripPlanner;0,443
OpenTripPlanner;0,44
OpenTripPlanner;0,465
OpenTripPlanner;0,499
OpenTripPlanner;0,501
OpenTripPlanner;0,491
OpenTripPlanner;0,486
OpenTripPlanner;0,493
OpenTripPlanner;0,476
OpenTripPlanner;0,515
OpenTripPlanner;0,549
OpenTripPlanner;0,524
OpenTripPlanner;0,523
OpenTripPlanner;0,56
OpenTripPlanner;0,637
OpenTripPlanner;0,573
OpenTripPlanner;0,551
OpenTripPlanner;0,562
OpenTripPlanner;0,567
OpenTripPlanner;0,568
OpenTripPlanner;0,575
OpenTripPlanner;0,562
jdk;1,407
jdk;1,39
jdk;1,397
jdk;1,415
jdk;1,394
jdk;0,657
jdk;0,695
jdk;0,659
jdk;0,648
jdk;0,64
jdk;0,748
jdk;0,734
jdk;0,686
jdk;0,735
jdk;0,689
jdk;0,458
jdk;0,448
jdk;0,448
jdk;0,445
jdk;0,452
jdk;0,822
jdk;0,787
jdk;0,792
jdk;0,797
jdk;0,769
jdk;1,556
jdk;1,569
jdk;1,522
jdk;1,532
jdk;1,424
jdk;0,444
jdk;0,444
jdk;0,449
jdk;0,442
jdk;0,451
jdk;0,505
jdk;0,5
jdk;0,519
jdk;0,483
jdk;0,481
jdk;0,593
jdk;0,576
jdk;0,582
jdk;0,565
jdk;0,597
jdk;0,49
jdk;0,467
jdk;0,48
jdk;0,466
jdk;0,471
jdk;0,567
jdk;0,564
jdk;0,583
jdk;0,579
jdk;0,596
jdk;0,615
jdk;0,637
jdk;0,643
jdk;0,633
jdk;0,628
jdk;0,493
jdk;0,478
jdk;0,481
jdk;0,473
jdk;0,47
jdk;0,551
jdk;0,577
jdk;0,576
jdk;0,591
jdk;0,542
jdk;0,514
jdk;0,488
jdk;0,493
jdk;0,489
jdk;0,501
jdk;0,54
jdk;0,582
jdk;0,566
jdk;0,576
jdk;0,587
jdk;0,723
jdk;0,752
jdk;0,686
jdk;0,694
jdk;0,664
jdk;0,587
jdk;0,601
jdk;0,606
jdk;0,611
jdk;0,589
jdk;0,547
jdk;0,498
jdk;0,497
jdk;0,496
jdk;0,505
jdk;0,439
jdk;0,439
jdk;0,421
jdk;0,424
jdk;0,435
jdk;0,442
jdk;0,437
jdk;0,437
jdk;0,434
jdk;0,443
jdk;0,53
jdk;0,534
jdk;0,537
jdk;0,571
jdk;0,534
jdk;0,617
jdk;0,631
jdk;0,627
jdk;0,599
jdk;0,634
jdk;0,524
jdk;0,504
jdk;0,504
jdk;0,512
jdk;0,503
jdk;0,443
jdk;0,437
jdk;0,427
jdk;0,438
jdk;0,436
jdk;0,423
jdk;0,42
jdk;0,413
jdk;0,429
jdk;0,424
jdk;0,507
jdk;0,505
jdk;0,518
jdk;0,517
jdk;0,53
jdk;0,452
jdk;0,446
jdk;0,446
jdk;0,448
jdk;0,444
jdk;0,494
jdk;0,521
jdk;0,55
jdk;0,519
jdk;0,502
jdk;0,54
jdk;0,548
jdk;0,552
jdk;0,637
jdk;0,692
jdk;0,644
jdk;0,644
jdk;0,633
jdk;0,589
jdk;0,579
jdk;0,539
jdk;0,534
jdk;0,49
jdk;0,518
jdk;0,494
jdk;0,564
jdk;0,567
jdk;0,585
jdk;0,585
jdk;0,571
jdk;0,532
jdk;0,515
jdk;0,546
jdk;0,515
jdk;0,542
jdk;0,451
jdk;0,459
jdk;0,445
jdk;0,457
jdk;0,449
jdk;0,446
jdk;0,444
jdk;0,431
jdk;0,442
jdk;0,433
jdk;0,509
jdk;0,507
jdk;0,51
jdk;0,527
jdk;0,539
jdk;0,47
jdk;0,453
jdk;0,445
jdk;0,461
jdk;0,449
jdk;0,429
jdk;0,423
jdk;0,415
jdk;0,417
jdk;0,422
jdk;0,604
jdk;0,608
jdk;0,641
jdk;0,624
jdk;0,617
jdk;0,47
jdk;0,447
jdk;0,432
jdk;0,432
jdk;0,436
jdk;0,441
jdk;0,438
jdk;0,451
jdk;0,441
jdk;0,444
jdk;0,515
jdk;0,489
jdk;0,48
jdk;0,495
jdk;0,51
jdk;0,48
jdk;0,457
jdk;0,488
jdk;0,488
jdk;0,486
jdk;0,44
jdk;0,422
jdk;0,438
jdk;0,438
jdk;0,425
jdk;0,475
jdk;0,495
jdk;0,495
jdk;0,497
jdk;0,484
jdk;0,47
jdk;0,48
jdk;0,48
jdk;0,476
jdk;0,461
jdk;0,493
jdk;0,511
jdk;0,495
jdk;0,494
jdk;0,498
jdk;0,514
jdk;0,53
jdk;0,565
jdk;0,534
jdk;0,707
jdk;0,984
jdk;0,706
jdk;0,57
jdk;0,544
jdk;0,556
jdk;0,445
jdk;0,431
jdk;0,578
jdk;0,844
jdk;1
jdk;0,627
jdk;0,623
jdk;0,622
jdk;0,603
jdk;0,572
jdk;0,442
jdk;0,43
jdk;0,441
jdk;0,481
jdk;0,527
jdk;0,608
jdk;0,566
jdk;0,522
jdk;0,52
jdk;0,556
jdk;0,792
jdk;0,778
jdk;0,801
jdk;0,781
jdk;0,819
jdk;0,531
jdk;0,493
jdk;0,502
jdk;0,501
jdk;0,491
jdk;0,44
jdk;0,452
jdk;0,448
jdk;0,444
jdk;0,446
jdk;0,572
jdk;0,567
jdk;0,555
jdk;0,559
jdk;0,58
jdk;0,548
jdk;0,503
jdk;0,493
jdk;0,511
jdk;0,51
jdk;0,508
jdk;0,509
jdk;0,535
jdk;0,514
jdk;0,51
jdk;0,536
jdk;0,593
jdk;0,545
jdk;0,545
jdk;0,576
jdk;0,536
jdk;0,539
jdk;0,538
jdk;0,496
jdk;0,532
jdk;0,48
jdk;0,457
jdk;0,449
jdk;0,469
jdk;0,452
jdk;0,865
jdk;0,913
jdk;0,804
jdk;0,914
jdk;0,877
jdk;0,497
jdk;0,464
jdk;0,445
jdk;0,453
jdk;0,441
jdk;1,768
jdk;1,789
jdk;1,794
jdk;1,769
jdk;1,82
jdk;0,613
jdk;0,616
jdk;0,607
jdk;0,612
jdk;0,611
jdk;1,735
jdk;1,721
jdk;1,696
jdk;1,713
jdk;1,744
jdk;0,489
jdk;0,492
jdk;0,484
jdk;0,487
jdk;0,482
jdk;0,698
jdk;0,738
jdk;0,71
jdk;0,748
jdk;0,752
jdk;0,749
jdk;0,697
jdk;0,652
jdk;0,765
jdk;0,714
jdk;0,625
jdk;0,629
jdk;0,635
jdk;0,64
jdk;0,622
jdk;0,689
jdk;0,726
jdk;0,724
jdk;0,73
jdk;0,753
jdk;0,749
jdk;0,761
jdk;0,769
jdk;0,666
jdk;0,624
jdk;7,787
jdk;7,91
jdk;7,634
jdk;7,519
jdk;7,556
jdk;2,825
jdk;3,34
jdk;2,62
jdk;2,717
jdk;2,965
jdk;0,555
jdk;0,596
jdk;0,525
jdk;0,471
jdk;0,505
jdk;0,57
jdk;0,57
jdk;0,545
jdk;0,542
jdk;0,58
jdk;0,597
jdk;0,658
jdk;0,683
jdk;0,608
jdk;0,621
jdk;0,917
jdk;0,878
jdk;0,866
jdk;0,837
jdk;0,856
jdk;0,619
jdk;0,616
jdk;0,596
jdk;0,633
jdk;0,555
jdk;0,507
jdk;0,509
jdk;0,534
jdk;0,534
jdk;0,527
jdk;0,598
jdk;0,559
jdk;0,631
jdk;0,702
jdk;0,623
jdk;0,568
jdk;0,645
jdk;0,745
jdk;0,697
jdk;0,649
jdk;7,616
jdk;7,965
jdk;8,636
jdk;8,351
jdk;8,421
jdk;0,646
jdk;0,636
jdk;0,615
jdk;0,619
jdk;0,662
jdk;0,937
jdk;0,862
jdk;0,895
jdk;0,866
jdk;0,894
jdk;0,743
jdk;0,794
jdk;0,732
jdk;0,721
jdk;0,742
jdk;0,535
jdk;0,648
jdk;0,565
jdk;0,569
jdk;0,567
jdk;0,543
jdk;0,594
jdk;0,576
jdk;0,575
jdk;0,568
jdk;0,666
jdk;0,614
jdk;0,569
jdk;0,611
jdk;0,585
jdk;0,512
jdk;0,473
jdk;0,497
jdk;0,484
jdk;0,571
jdk;3,026
jdk;3,69
jdk;3,433
jdk;3,358
jdk;3,021
jdk;0,674
jdk;0,656
jdk;0,656
jdk;0,614
jdk;0,675
jdk;6,577
jdk;5,937
jdk;6,331
jdk;6,298
jdk;5,841
jdk;0,514
jdk;0,504
jdk;0,493
jdk;0,535
jdk;0,489
jdk;0,454
jdk;0,463
jdk;0,458
jdk;0,501
jdk;0,531
jdk;0,502
jdk;0,5
jdk;0,511
jdk;0,54
jdk;0,504
jdk;3,882
jdk;3,819
jdk;3,777
jdk;3,662
jdk;3,655
jdk;0,594
jdk;0,634
jdk;0,638
jdk;0,639
jdk;0,629
jdk;0,584
jdk;0,506
jdk;0,456
jdk;0,455
jdk;0,443
jdk;0,506
jdk;0,505
jdk;0,488
jdk;0,505
jdk;0,503
jdk;0,475
jdk;0,466
jdk;0,473
jdk;0,484
jdk;0,473
jdk;0,594
jdk;0,632
jdk;0,59
jdk;0,581
jdk;0,59
jdk;0,608
jdk;0,586
jdk;0,643
jdk;0,631
jdk;0,62
jdk;0,517
jdk;0,489
jdk;0,492
jdk;0,485
jdk;0,488
jdk;0,458
jdk;0,46
jdk;0,456
jdk;0,452
jdk;0,457
jdk;0,483
jdk;0,533
jdk;0,506
jdk;0,456
jdk;0,479
jdk;0,494
jdk;0,484
jdk;0,529
jdk;0,638
jdk;0,557
jdk;0,517
jdk;0,49
jdk;0,49
jdk;0,539
jdk;0,505
jdk;0,485
jdk;0,475
jdk;0,484
jdk;0,489
jdk;0,488
jdk;0,463
jdk;0,486
jdk;0,478
jdk;0,524
jdk;0,537
jdk;1,179
jdk;0,834
jdk;0,819
jdk;1,027
jdk;1,032
jdk;0,641
jdk;0,556
jdk;0,586
jdk;0,593
jdk;0,582
jdk;0,616
jdk;0,562
jdk;0,569
jdk;0,605
jdk;0,66
jdk;0,521
jdk;0,456
jdk;0,459
jdk;0,459
jdk;0,472
jdk;0,484
jdk;0,461
jdk;0,478
jdk;0,561
jdk;0,505
jdk;0,512
jdk;0,505
jdk;0,51
jdk;0,494
jdk;0,481
jdk;0,562
jdk;0,578
jdk;0,53
jdk;0,518
jdk;0,507
jdk;0,459
jdk;0,45
jdk;0,447
jdk;0,516
jdk;0,471
jdk;0,601
jdk;0,638
jdk;0,713
jdk;0,697
jdk;0,684
jdk;0,651
jdk;0,658
jdk;0,717
jdk;0,679
jdk;0,645
jdk;0,675
jdk;0,661
jdk;0,703
jdk;0,668
jdk;0,705
jdk;0,592
jdk;0,61
jdk;0,617
jdk;0,582
jdk;0,645
jdk;0,577
jdk;0,551
jdk;0,539
jdk;0,486
jdk;0,473
jdk;0,491
jdk;0,469
jdk;0,457
jdk;0,445
jdk;0,471
jdk;0,488
jdk;0,457
jdk;0,49
jdk;0,577
jdk;0,496
jdk;0,559
jdk;0,519
jdk;0,553
