[#, project, merge commit, file, approach, timeStamp]
1,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,InsertionLevelInitializationBlockHandler,2,08
2,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,InsertionLevelInitializationBlockHandler,2,037
3,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,InsertionLevelInitializationBlockHandler,2,065
4,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,InsertionLevelInitializationBlockHandler,2,016
5,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,InsertionLevelInitializationBlockHandler,2,005
1,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,SimpleInitializationBlockHandler,2,003
2,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,SimpleInitializationBlockHandler,1,995
3,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,SimpleInitializationBlockHandler,2,015
4,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,SimpleInitializationBlockHandler,2,008
5,Spout,c8351fdb0f2e80c14e199e26d9e96869fc31e6c3,C:/UFPE/miningframework/SOOTAnalysisOutput/Spout/c8351fdb0f2e80c14e199e26d9e96869fc31e6c3/org/spout/engine/protocol/SpoutProtocolTest,SimpleInitializationBlockHandler,2,015
