project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
jackson-databind;004522c8fd9180dd84414f894ef61e2367442988;053b5e333badfadb54642590238b2943c43c1717;de46edf32;423689972;src/main/java/com/fasterxml/jackson/databind/ext/DOMDeserializer.java;2
jackson-databind;c818d4d09b05b9ae02238747ab629d2b77fcf631;f9a9122f78d145084b3f2dc2cd982f2ed3cbd199;ad5a63017;03f30bf11;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94;98202a8347d72d550e175a8a8ed0271299d98c03;f9a9122f7;74bfed9c7;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;c6dab9b7e94fbc8e4dca2006b14b652368ba8912;3d97153944f7de9c19c1b3637b33d3cf1fbbe4d7;6a0cdc5ab;e701bd852;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;1
jackson-databind;6a0cdc5aba19484e9b096499a0a42ca769a49e2f;6cc9f1a1af323cd156f5668a47e43bab324ae16f;65d81901a;3d9715394;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;1
jackson-databind;acfc72821c270acf151d394f3f1c1dbacd49afca;fae36eb4daccfb37569bd54341ecc49d22dc6f6f;eeac38b29;6cc9f1a1a;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;1
jackson-databind;0fc38a787f76f6c398545f724e5b4fe9ea2b9336;840eae2ca81c597a0010b2126f32dce17d384b70;b83ab881b;f6d9c664f;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;1
jackson-databind;d9b8e7beb11f2a66ba3ed1745bff66e44905b06a;716f3f95fb82c686cc20d7255665de54c5330fa7;dcb5efe9f;840eae2ca;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;1
jackson-databind;f0430de160706ff6c3643100d02f1ad4d93ba51a;d1c67a0396e84c08d0558fbb843b5bd1f26e1921;419d7717c;5c8642aea;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;1
jackson-databind;419d7717cf90689614057b1a90ddcbfd5f3a7e1b;d3df22b414b41b8d9ef1422f29c295ebf1a4e200;51620211e;d1c67a039;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;1
jackson-databind;004522c8fd9180dd84414f894ef61e2367442988;053b5e333badfadb54642590238b2943c43c1717;de46edf32;423689972;src/main/java/com/fasterxml/jackson/databind/ext/DOMDeserializer.java;2
jackson-databind;c818d4d09b05b9ae02238747ab629d2b77fcf631;f9a9122f78d145084b3f2dc2cd982f2ed3cbd199;ad5a63017;03f30bf11;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;004522c8fd9180dd84414f894ef61e2367442988;053b5e333badfadb54642590238b2943c43c1717;de46edf32;423689972;src/main/java/com/fasterxml/jackson/databind/ext/DOMDeserializer.java;2
jackson-databind;c818d4d09b05b9ae02238747ab629d2b77fcf631;f9a9122f78d145084b3f2dc2cd982f2ed3cbd199;ad5a63017;03f30bf11;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;004522c8fd9180dd84414f894ef61e2367442988;053b5e333badfadb54642590238b2943c43c1717;de46edf32;423689972;src/main/java/com/fasterxml/jackson/databind/ext/DOMDeserializer.java;2
jackson-databind;c818d4d09b05b9ae02238747ab629d2b77fcf631;f9a9122f78d145084b3f2dc2cd982f2ed3cbd199;ad5a63017;03f30bf11;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
