project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
orientdb;710eccfbd3ca14d8a81db8834a60544f27acf142;61cec7a2c16043a5755a042ce0ef3e020dddfe7a;429d6f6a8d;ec809dd327;core/src/main/java/com/orientechnologies/orient/core/serialization/serializer/record/string/ORecordSerializerJSON.java;2
orientdb;7485282795c9826e878d094023027b0582284bbd;3d3eed89afe598d15a8c68c7e9b1b31eb8f23211;b79fa6d8db;c5888eef43;core/src/main/java/com/orientechnologies/orient/core/sql/ODefaultCommandExecutorSQLFactory.java;2
orientdb;4fbaab61daafca62bf0ec488352c4a7596cb50ad;0e695cb7a5cdedf3870084d95359bfbbc8a6f6a4;9fc221b320;c15e850e2b;distributed/src/test/java/com/orientechnologies/orient/test/TestSetupUtil.java;2
orientdb;28718b00309f1d9a17fd00642cfc1df0cc6ca89f;9ff6dd337f040f8ec3cf9ed939c319ea1cc201b9;351dda2c28;bcd635a349;core/src/main/java/com/orientechnologies/orient/core/storage/impl/local/paginated/wal/async/AsyncWriteAheadLog.java;2
orientdb;6cf696b22e505fdf34686392c94c3b34c1255bcc;07a2bae125d0778ee2610180253188e3ef0719e1;605443c877;281fe435ad;core/src/main/java/com/orientechnologies/orient/core/storage/cache/local/aoc/AppendOnlyCompressedWriteCache.java;4
orientdb;e09ad6059af7765585aadd97894b112ca13a42a8;ac075bc94f9f7db73ef6de70df2255f674607085;e36f515f0b;0397598141;core/src/main/java/com/orientechnologies/orient/core/storage/cache/local/twoq/ConcurrentLRUList.java;2
orientdb;6db53ef56edc239af6f78f38459ca80ec8b4d0cb;ea879241236d7a1dc83c85e973891feddaebe5d4;2a761f4760;a8479829b1;core/src/main/java/com/orientechnologies/orient/core/storage/impl/local/OAbstractPaginatedStorage.java;4
orientdb;bd80ef97fb2f3f2a864ef318466612b1bab5be6c;5897658d9b704f88d38ef5fd3be075e4969ea41e;272b45fbf8;ea87924123;core/src/main/java/com/orientechnologies/orient/core/storage/impl/local/OAbstractPaginatedStorage.java;4
orientdb;7992442fddd62392fe6faeb129c06c7c011a07d2;b70826b74e5b215b11414f3316af608bf62f4061;630550e583;5897658d9b;core/src/main/java/com/orientechnologies/orient/core/storage/impl/local/OAbstractPaginatedStorage.java;4
orientdb;f98ea21f25eb2ce705a90905218fd4202bb46b8a;6a94e69f80e35d29251d7c442beaa55c6ade09d7;4d21cf3942;b2d2a8092f;jdbc/src/main/java/com/orientechnologies/orient/jdbc/OrientJdbcResultSetMetaData.java;2
