project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
realm-java;68ef49b6f7392875ecec3b4ce5367e63dae9b768;4c7e0835a30c289e190063f51856e5ba42336d2b;fecd97b2c;6261a2011;realm/realm-annotations-processor/src/test/resources/io/realm/RealmDefaultModuleMediator.java;2
realm-java;f55c2eac027a42bd310f2750eb944750108199f1;4e82766ba451acd79fe91bcb2485f9ce5c82d2ac;e5eea79d1;e6380b7d9;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;1923c11018c5bdec5756f32f9a092dca20c95bb3;1e2c14447aef90b8cbabe8174828916d7035c027;eb42de72d;ee45d59c9;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;8a7a42e6b8646f17aa9534232b028c09e23465c8;9bfb8adbb7c1216a5b1f27936fe56532594ce83a;d409e317f;862cab48f;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;de1e8b9611845e161cfe989351fb48012c750e3b;bf3f4050afcf4fe477e73cba9d1b032b96fff34b;19e452787;ecfea7d31;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;02b89a14d99404b1cb7417901a4340b6aa4a69c1;f7967058cae7695d2a8e9bce73bccde42336b100;9304a07a4;fe4960ca9;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;f1e87bc607ec4a0598c786966e0c1a5c36af1914;5e20952decab2a2f4dda826a06a21a3b93115665;407e6a5ca;5b8649824;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;86c8fa5e63ac2166f2805495a605b4873daa40af;eddd4b83c4cb340674a1261cfc57e83a4f58d7fd;ab8a42ac8;c2f8b660b;realm/realm-annotations-processor/src/main/java/io/realm/processor/RealmJsonTypeHelper.java;2
realm-java;3e1310755be871ec120633637f17afe3a439f4bc;6d071200d8dba9eee93160bdd001a38de966faee;52ba434e3;721753ab6;realm/realm-library/src/main/java/io/realm/internal/ObjectServerFacade.java;2
realm-java;38c90e5e885158e1b4cbae570b0a65f894b91f1e;eebdb0849e08aed5862f2bc0a638274b05e8395a;154419881;c5a616b56;realm/realm-library/src/main/java/io/realm/internal/ObjectServerFacade.java;2
realm-java;8f735c63da0a65c6f331c8134d5a2f1bf5a3ddac;5c0f0b0ad6fc63ae3600bde9ccfc96ac44aecd48;7f50cf009;034e4900e;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;a42ae3a926faa7fd5486e5aab9e17813b5699706;6208d50e8f65402a327158df2fd5e6c866b1a7f8;bd4e7d70b;5c0f0b0ad;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;4470f18dd3cd4f5bd8ee85c58327c63030ce0bec;53aa306b1fc0200b4314c33da42a5449609d5072;7c1524285;39278133b;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
realm-java;f034db6a3357b79d1eec6806e47ce52931dbf33e;5e3ac4a28f5ea50e663bcde1d8f0606f38456053;f05d561eb;17cd606ed;realm/realm-library/src/main/java/io/realm/objectserver/SyncManager.java;2
realm-java;c79a4668e46bc8b2713be1e3a87dd9213cb215de;973d7ca117b3b861178e5c6725f06988bbc5e53f;7b8413baa;4397969a2;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;4
