project; merge commit ;ancestorSHA; left; right; hasInitializationBlock;  qtd_static
dataverse;191869e7f679ce6a26dd7c361f330ef551fd9668;6c87b3990ae8fe04c77ebf700393fbdfd9ad3629;2556cb9cbe;ecc23c0ebf;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;1be8bbdedbb64fc08683c2039f43ed378a720e70;ef84e5e9de2b623447980d4705838148949c322e;398e988fa0;be48cfda1e;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;2556cb9cbe029b18684ea015452cd491d9f4faa6;11abccfb61d28e3b9e0695cb7be85d775a83ce59;86b8e6f10d;6c87b3990a;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;398e988fa0343b9dcea369a38b2bdcbc400e6cef;1c72fbe85be9c47f4d50658defb92e2edc7f9f75;d7ab9f6e53;ef84e5e9de;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;93c7347833751b977494307a89c9105305de4549;1c72fbe85be9c47f4d50658defb92e2edc7f9f75;272dd4d559;454f3f1c44;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;6c45675c1d02961084a064a9cb83d8eeb33b5e86;b88f0dfaaef1a104473271ad62a28ffe4fd4f243;9f3fadbcbf;a8af4fde6a;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;77eea5628c9ae5d332a2b94b3f39fb0f11b464d0;e1f862e2c2306d5a15f9ab4883747f9303f73ab5;79e367586f;6ca1c9d873;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;ff2f137d6f6da08026241fcbd21e5923d08ada1b;6bd3ec62726e7429ee4c960477415f1329305611;d2a6a87603;7301c621ac;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;7f990dc776e0b6723eeb5afbf10359129c19a560;1e528090e37d0236fcc3c69e041763b56a711834;cb1755d5a1;6bd3ec6272;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;79e367586f988c659907806ddf9ef8ad22b3d916;04bfd3d1769daea026a185d88a34912ec2a07f7d;6de370e219;e1f862e2c2;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
dataverse;3558a0bb33a5fa5d4c819515f579ff7f2b0d8b9e;04bfd3d1769daea026a185d88a34912ec2a07f7d;93c1004b59;e1f862e2c2;src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java;4
