project; merge commit ;ancestorSHA; left; right; pathFilesWithIniTBlock;  qtd_static
realm-java;68ef49b6f7392875ecec3b4ce5367e63dae9b768;4c7e0835a30c289e190063f51856e5ba42336d2b;fecd97b;6261a20;realm/realm-annotations-processor/src/test/resources/io/realm/RealmDefaultModuleMediator.java;1
realm-java;d7a9f27c78b0b5123ca9995352cba458aefcc95a;860f80b820a99dcc5a931e9ca1f8167bd4a084f8;f75bba8;444c318;realm/realm-library/src/testUtils/java/io/realm/TestHelper.java;1
realm-java;d7a9f27c78b0b5123ca9995352cba458aefcc95a;860f80b820a99dcc5a931e9ca1f8167bd4a084f8;f75bba8;444c318;realm/realm-library/src/syncTestUtils/java/io/realm/SyncTestUtils.java;1
realm-java;f55c2eac027a42bd310f2750eb944750108199f1;4e82766ba451acd79fe91bcb2485f9ce5c82d2ac;e5eea79;e6380b7;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;1923c11018c5bdec5756f32f9a092dca20c95bb3;1e2c14447aef90b8cbabe8174828916d7035c027;eb42de7;ee45d59;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;8a7a42e6b8646f17aa9534232b028c09e23465c8;9bfb8adbb7c1216a5b1f27936fe56532594ce83a;d409e31;862cab4;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;b939b3d3df5c1a1b3ebabc66e2320299ca92c87e;f2144d4ca2410aba05a3153dde7ec0b438d3fa0f;5826d96;19e4527;realm/realm-library/src/main/java/io/realm/RealmConfiguration.java;1
realm-java;de1e8b9611845e161cfe989351fb48012c750e3b;bf3f4050afcf4fe477e73cba9d1b032b96fff34b;19e4527;ecfea7d;realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java;2
realm-java;5826d96fd06efeb1cd6493c4e26d5cf5801ff3cc;47369861496d8db5d77c8725222eae1f74ea2b6b;782bd0e;f2144d4;realm/realm-annotations-processor/src/main/java/io/realm/processor/RealmProxyClassGenerator.java;1
realm-java;5826d96fd06efeb1cd6493c4e26d5cf5801ff3cc;47369861496d8db5d77c8725222eae1f74ea2b6b;782bd0e;f2144d4;realm/realm-annotations-processor/src/test/resources/io/realm/AllTypesRealmProxy.java;1
