project; merge commit ;ancestorSHA; left; right; hasInitializationBlock;  qtd_static
spring-boot;3f9f279dc0b32f413f243fb941116beff4887dcb;86a1cfff6fdbe386136b7b1da61ac74eb3496dc3;3d65be0e1c;e825a6eb1a;spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/embedded/tomcat/TldPatterns.java;10
spring-boot;bd39247a304eb99b278c02087c08a7f82a879101;2cbaf645b1c15deead19dce7d1a830a941110838;d7987147c1;fe39ee671d;spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/embedded/tomcat/TldPatterns.java;10
spring-boot;8f2320d1ac5626dc4f8cf34c523d9bb201e9aeab;3651ba348d0fc8a88b04df286d2cb9c378cae6c3;bcfb250da2;01e8c42c16;spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/BackgroundPreinitializer.java;2
spring-boot;c4de86c244acdcff69ed0aecacd254399be79ce2;b93c9f7fec2b4ec9fce567010b588fc40a2b5f7c;d3104257d7;df5898a146;spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/test/java/org/springframework/boot/loader/tools/AbstractPackagerTests.java;4
spring-boot;040ab4da5bcdaf397e2407897900d67337dcd5d2;0dde4278dbd13b0321e4988014513e6b2d75f96e;55277696be;c652d3d95b;spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java;4
spring-boot;48c948973d61f462c3d46dd5b042d91c75dfa532;7e88daf288fa5629e6bba3b7236423ff0142b32a;c2a3652709;d0e55643b1;spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java;4
spring-boot;b2a4ae38e8232c93b39c80f476bef9e503dc4aa0;0019243d25ccec42ecac9e9a6009b9ffd77c4986;062533f5ae;4faa1a741d;spring-boot-project/spring-boot-tools/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/junit/GradleCompatibilityExtension.java;2
spring-boot;2088381d4ba6d27b0bb2236689ec30d701c4fc97;2fd336c6d046de3134680ba9fcb5ef26122fdfae;5db1547da7;6805be574f;spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/cache/CacheConfigurations.java;2
spring-boot;39b6f2bd7de5c1cb234e1b1283a30703da5afa75;b787ea480224f1fe67236c79955b52d3d326ae0d;42d8eba99d;2ab0ce3ea7;spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/embedded/tomcat/TldPatterns.java;10
spring-boot;5736f5401bac042a0cf6cc447079e393357557b2;6494a9f08acc9ea7d2529fb317dd519bfe0897a9;f97bf544bf;c0a72bf5ea;spring-boot-project/spring-boot-devtools/src/main/java/org/springframework/boot/devtools/env/DevToolsPropertyDefaultsPostProcessor.java;2
spring-boot;c0a72bf5ea2c62109c9ab080302ba4256bae650e;7c3c5d3d3e5fd453f512f488a0dcd7d0f973f4dc;6494a9f08a;4c1d1a6a69;spring-boot-project/spring-boot-devtools/src/main/java/org/springframework/boot/devtools/env/DevToolsPropertyDefaultsPostProcessor.java;2
