project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of GitMergeFile conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of GitMergeFile for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = GitMergeFile output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = GitMergeFile output,SimpleInitializationBlockHandler output = Actual output,GitMergeFile output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = GitMergeFile conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = GitMergeFile conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts,GitMergeFile conflicts = Actual conflicts
flowable-engine,d63e916fe350c9170e511b58a2d43e42eef64742,PlanItemDefinitionExport,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,032ce669d079f9971fadd33dbf3bb6430f534801,FlowableVersions,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,c00aaadfda023bf44d26e7d94466e94666c28bae,TableDataManagerImpl,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,c00aaadfda023bf44d26e7d94466e94666c28bae,FlowableVersions,1,1,1,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,65024cf3a6fcdd4bad786a51b8d5ea4d3458bb10,FlowableVersions,1,1,1,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,5b97539fe320d2875829768a608ceafd4aa9fe5c,CmmnXmlConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,8a770cbbfde4311c91bb4e1a709d701e4fe647dc,CmmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,8bd1494ee3c4d683aa2ab32bbc79e4fe72b13476,EntityDependencyOrder,1,1,1,0,1,1,1,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,36408f0b853db1659aaa3791bbc5cb89dfc5cef2,CmmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,67139840028e94740e1d5817679bf6bbf19fb1ff,TableDataManagerImpl,1,1,1,0,1,1,1,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,eee63569707fdaeccb4f2c2b761c7379312c07ad,DmnXMLConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,eee63569707fdaeccb4f2c2b761c7379312c07ad,HitPolicy,0,0,0,0,0,0,0,0,true,false,false,false,false,false,true,true,false,true,false,false
flowable-engine,66364ce4321df5411c72f53269e4d9cc318cd140,DbSqlSession,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,78c87cca2236d7cc61570eb5d473a1a36f35ec0e,DbSqlSessionFactory,1,1,1,0,1,1,1,0,true,false,false,false,false,false,true,false,false,false,false,false
flowable-engine,b0a0bccddb782936d5fe486df2c009e0db49cb4b,BpmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,883dd1701327bece47da4f1184565af7c3bcd9e0,BpmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,4e5a6b58f5783a33db07e2914e4524b109fd3d72,ProcessDefinitionCollectionResource,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,6675bbeef23ca2343e399b16e75355bda91f8f1d,DbSqlSession,1,1,1,0,1,1,1,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,ae97cf38b9367679c61688baed9fa9ae79bf4ce8,BpmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,0c4697b1495ae377850574d9449242136502629c,ProcessDiagramGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,false,true,true,false,true,false,false
flowable-engine,b9f1f2f54f158bbb7efa09e95b4defc2bf53a28b,BpmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,8ebfad76f5ec953563388f6524c3897c1f3e4cea,BpmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,702cf859758005df4d3a6fcbd641d192473042cc,BpmnJsonConverter,1,1,1,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,1518e39eb96f8448e0b8030ff9d1179c6f09488c,BpmnJsonConverter,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,4421b3ce469e8e69867e84e6fe4cd15c1283f090,DeploymentCollectionResource,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
flowable-engine,4421b3ce469e8e69867e84e6fe4cd15c1283f090,TableDataManager,0,0,0,0,0,0,0,0,true,true,false,true,false,false,true,true,false,true,false,false
