[#, project, merge commit, file, approach, timeStamp]
1,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,14.618
2,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1.204
3,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1.083
4,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1.049
5,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1.079
1,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1.087
2,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1.084
3,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1.135
4,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1.134
5,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1.16
1,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,/home/ines/leolima/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,2.173
