project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,ConfidentialStoreRule,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,Secret,1,0,0,1,0,0,false,false,true,false,false,true
jenkins,56f158694a3533de50bea5889ad892a80242612a,ComputerSet,0,0,0,0,0,0,true,false,false,true,true,true
jenkins,56f158694a3533de50bea5889ad892a80242612a,JnlpSlaveAgentProtocol3,1,2,0,1,1,0,false,false,false,false,false,false
jenkins,56f158694a3533de50bea5889ad892a80242612a,Jenkins,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,56f158694a3533de50bea5889ad892a80242612a,PluginManager,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,7886b73c1c1ec484f36844d9ee8472e68d9dc4b7,Jenkins,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,7886b73c1c1ec484f36844d9ee8472e68d9dc4b7,JnlpSlaveAgentProtocol3,1,1,0,1,1,0,false,false,false,false,false,false
jenkins,7886b73c1c1ec484f36844d9ee8472e68d9dc4b7,PluginManager,1,1,0,0,0,0,true,false,false,true,false,false
jenkins,120d8b53950318d11bd1a2aa65da1c01eba53583,JnlpSlaveAgentProtocol3,1,1,0,1,1,0,false,false,false,false,false,false
jenkins,120d8b53950318d11bd1a2aa65da1c01eba53583,Jenkins,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,120d8b53950318d11bd1a2aa65da1c01eba53583,PluginManager,1,1,0,0,0,0,true,false,false,true,false,false
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,ConfidentialStoreRule,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,Secret,1,0,0,1,0,0,false,false,true,false,false,true
jenkins,56f158694a3533de50bea5889ad892a80242612a,ComputerSet,0,0,0,0,0,0,true,false,false,true,true,true
jenkins,56f158694a3533de50bea5889ad892a80242612a,JnlpSlaveAgentProtocol3,1,2,0,1,1,0,false,false,false,false,false,false
jenkins,56f158694a3533de50bea5889ad892a80242612a,Jenkins,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,56f158694a3533de50bea5889ad892a80242612a,PluginManager,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,7886b73c1c1ec484f36844d9ee8472e68d9dc4b7,Jenkins,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,7886b73c1c1ec484f36844d9ee8472e68d9dc4b7,JnlpSlaveAgentProtocol3,1,1,0,1,1,0,false,false,false,false,false,false
jenkins,7886b73c1c1ec484f36844d9ee8472e68d9dc4b7,PluginManager,1,1,0,0,0,0,true,false,false,true,false,false
jenkins,120d8b53950318d11bd1a2aa65da1c01eba53583,JnlpSlaveAgentProtocol3,1,1,0,1,1,0,false,false,false,false,false,false
jenkins,120d8b53950318d11bd1a2aa65da1c01eba53583,Jenkins,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,120d8b53950318d11bd1a2aa65da1c01eba53583,PluginManager,1,1,0,0,0,0,true,false,false,true,false,false
