[project, merge commit, file, approach, timeStamp]
Activiti,91ae935eb992cf012f208f3cbc662ccd8f37b781,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/91ae935eb992cf012f208f3cbc662ccd8f37b781/org/activiti/engine/test/history/ProcessInstanceLogQueryAndByteArrayTypeVariableTest,InsertionLevelInitializationBlockHandler,1,473 ms
Activiti,91ae935eb992cf012f208f3cbc662ccd8f37b781,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/91ae935eb992cf012f208f3cbc662ccd8f37b781/org/activiti/engine/test/history/ProcessInstanceLogQueryAndByteArrayTypeVariableTest,SimpleInitializationBlockHandler,1,315 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/rest/service/BaseSpringRestTestCase,InsertionLevelInitializationBlockHandler,3,154 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/engine/impl/persistence/entity/TableDataManager,InsertionLevelInitializationBlockHandler,4,145 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/rest/service/api/history/HistoricTaskInstanceBaseResource,InsertionLevelInitializationBlockHandler,1,330 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/editor/language/json/converter/BpmnJsonConverter,InsertionLevelInitializationBlockHandler,4,054 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/bpmn/converter/BpmnXMLConverter,InsertionLevelInitializationBlockHandler,3,140 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/engine/impl/db/DbSqlSessionFactory,InsertionLevelInitializationBlockHandler,20,480 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/engine/impl/db/DbSqlSession,InsertionLevelInitializationBlockHandler,9,701 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/engine/impl/juel/SimpleResolver,InsertionLevelInitializationBlockHandler,1,351 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/rest/service/BaseSpringRestTestCase,SimpleInitializationBlockHandler,3,023 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/engine/impl/persistence/entity/TableDataManager,SimpleInitializationBlockHandler,4,110 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/rest/service/api/history/HistoricTaskInstanceBaseResource,SimpleInitializationBlockHandler,1,344 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/editor/language/json/converter/BpmnJsonConverter,SimpleInitializationBlockHandler,4,063 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/bpmn/converter/BpmnXMLConverter,SimpleInitializationBlockHandler,3,206 ms
Activiti,a0f41e550844c36d42463956e2b5c0d6bac23462,C:/UFPE/miningframework/SOOTAnalysisOutput/Activiti/a0f41e550844c36d42463956e2b5c0d6bac23462/org/activiti/engine/impl/db/DbSqlSessionFactory,SimpleInitializationBlockHandler,3,624 ms
