project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
orientdb,710eccfbd3ca14d8a81db8834a60544f27acf142,ORecordSerializerJSON,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,7485282795c9826e878d094023027b0582284bbd,ODefaultCommandExecutorSQLFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,4fbaab61daafca62bf0ec488352c4a7596cb50ad,TestSetupUtil,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,28718b00309f1d9a17fd00642cfc1df0cc6ca89f,AsyncWriteAheadLog,1,1,0,0,0,0,true,false,false,true,false,false
orientdb,6cf696b22e505fdf34686392c94c3b34c1255bcc,AppendOnlyCompressedWriteCache,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,e09ad6059af7765585aadd97894b112ca13a42a8,ConcurrentLRUList,1,1,0,0,0,0,true,false,false,true,false,false
orientdb,e09ad6059af7765585aadd97894b112ca13a42a8,DoubleWriteLogGL,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,6db53ef56edc239af6f78f38459ca80ec8b4d0cb,OAbstractPaginatedStorage,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,bd80ef97fb2f3f2a864ef318466612b1bab5be6c,OAbstractPaginatedStorage,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,7992442fddd62392fe6faeb129c06c7c011a07d2,OAbstractPaginatedStorage,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,f98ea21f25eb2ce705a90905218fd4202bb46b8a,OrientJdbcResultSetMetaData,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,f98ea21f25eb2ce705a90905218fd4202bb46b8a,OLuceneOperatorFactory,0,0,0,0,0,0,true,true,true,true,true,true
orientdb,f98ea21f25eb2ce705a90905218fd4202bb46b8a,OLuceneIndexFactory,0,0,0,0,0,0,true,true,true,true,true,true
