[#, project, merge commit, file, approach, timeStamp]
1,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,InsertionLevelInitializationBlockHandler,2,531
2,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,InsertionLevelInitializationBlockHandler,2,182
3,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,InsertionLevelInitializationBlockHandler,2,078
4,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,InsertionLevelInitializationBlockHandler,1,949
5,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,InsertionLevelInitializationBlockHandler,2,233
1,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,SimpleInitializationBlockHandler,2,058
2,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,SimpleInitializationBlockHandler,2,061
3,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,SimpleInitializationBlockHandler,2,084
4,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,SimpleInitializationBlockHandler,2,103
5,realm-java,f55c2eac027a42bd310f2750eb944750108199f1,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/f55c2eac027a42bd310f2750eb944750108199f1/io/realm/RealmObjectSchema,SimpleInitializationBlockHandler,2,107
1,realm-java,1923c11018c5bdec5756f32f9a092dca20c95bb3,C:/UFPE/miningframework/SOOTAnalysisOutput/realm-java/1923c11018c5bdec5756f32f9a092dca20c95bb3/io/realm/RealmObjectSchema,InsertionLevelInitializationBlockHandler,2,064
