[#, project, merge commit, file, approach, timeStamp]
1,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,InsertionLevelInitializationBlockHandler,28.266
2,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,InsertionLevelInitializationBlockHandler,2.086
3,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,InsertionLevelInitializationBlockHandler,1.221
4,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,InsertionLevelInitializationBlockHandler,1.259
5,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,InsertionLevelInitializationBlockHandler,1.261
1,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,SimpleInitializationBlockHandler,1.234
2,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,SimpleInitializationBlockHandler,1.253
3,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,SimpleInitializationBlockHandler,1.291
4,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,SimpleInitializationBlockHandler,1.244
5,cgeo,e116e23c2d3a04544f56bdde57212015e554b131,/home/ines/leolima/miningframework/SOOTAnalysisOutput/cgeo/e116e23c2d3a04544f56bdde57212015e554b131/Calculator,SimpleInitializationBlockHandler,1.307
