project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
jenkins;8f61155846fc92536af55f2332dea3db052f3a91;956693a2c1475ce5f668c4ed006f571e90d230d1;ee007da;4c5f08a;core/src/test/java/jenkins/security/ConfidentialStoreRule.java;2
jenkins;c77a8cb6ce991fab68ec36fefa21605fd53a0bbd;a733ffaef6eddf51b87cd797487fa24b3cf618d4;07bcd1f;0b27ad2;core/src/main/java/hudson/UDPBroadcastThread.java;2
jenkins;8991d8a6482909a9dd0627c568e63e02d1beb7f7;a769168217fb09aed2b55a335f67b51f5358cb67;316b84d;7f91adb;core/src/main/java/hudson/model/Queue.java;2
jenkins;93375d53f19a3301e8a0ea480be352ef1aa6f384;f8e48a3064b2b191d10911ece57d38fcfccf9f22;2672a83;81b0414;core/src/main/java/hudson/model/Queue.java;2
jenkins;6efee2875ce58a46588067c127e7883ab63b127f;39fefe96b2a507fdcd385b62f9fce779f8481d9e;e14cf0e;52d11a9;test-jdk8/src/test/java/jenkins/security/Security218BlackBoxTest.java;2
jenkins;681386990da25f95ba31911a88fcae213723d254;37636943a11934dd3eb62f9afc8b29f34e0067c0;27e0457;de292be;test/src/test/java/jenkins/security/Security218BlackBoxTest.java;2
jenkins;71e78b45b025fbbd8fd8e9c1519a078a59039eeb;0ac93deba0d165b0b3ef5c2d84a00767eff511a4;1aea337;226f7b4;core/src/main/java/hudson/cli/CliProtocol.java;2
jenkins;34c88568d330b87e0ed739b385eaaca9271bfecf;cea7e83f02c538ab04d0edf013398d85c1cea05a;ba21cb1;49720f6;core/src/main/java/hudson/tools/JDKInstaller.java;2
jenkins;556d6f70369bcd09f1deb60854281ef9093d42fd;bfeb263c44ef77f234306abeb36559207900b78a;ba4d1f7;b92db0f;core/src/main/java/hudson/tools/JDKInstaller.java;2
jenkins;3fc98a90b874e2493413fe70f16b648847e053d4;51927783a336774e4457caefb9202af780347475;c25b345;e0017ae;test/src/test/java/hudson/cli/CLIActionTest.java;2
jenkins;c25b345460d2bc3fd1ed649777a332221b8c38e0;6ca1ccab5d33981bd07c5225ecb7a1232d9a33e8;0c3d2ac;e76921c;test/src/test/java/hudson/cli/CLIActionTest.java;2
jenkins;8b2f795dc8fa4cb9c8d3e1faf1f2a735802873e0;a23d114de5de6027e9275d7cd74bfedc38520e94;765af97;e612721;core/src/test/java/hudson/PluginWrapperTest.java;2
jenkins;411f2c80b47bdb9b8c76f783b381237eb81b2fe5;706aa7ad95f9461b58afb480dab6441b861fd24d;2258c02;87c867a;core/src/test/java/hudson/PluginWrapperTest.java;2
jenkins;706aa7ad95f9461b58afb480dab6441b861fd24d;555a863886dbc770e7ad5e16f47fb5b0d9557f15;56f1586;4753091;core/src/main/java/jenkins/model/Jenkins.java;2
jenkins;4753091384ea51c56cc09a0f96666ea9a4c2e03e;582f6508e509498ceb04f91f09ec260c1daa038e;120d8b5;52a3a77;core/src/main/java/jenkins/model/Jenkins.java;2
jenkins;56f158694a3533de50bea5889ad892a80242612a;582f6508e509498ceb04f91f09ec260c1daa038e;5500e5c;120d8b5;core/src/main/java/hudson/model/ComputerSet.java;2
jenkins;4ecd9ff1ef5512fd3a14bbbba58037adfe1b2333;d73a37ced4cda21e5b76d3246bba2bcc6fab0599;21c1ee5;120d8b5;core/src/main/java/jenkins/model/Jenkins.java;2
jenkins;7886b73c1c1ec484f36844d9ee8472e68d9dc4b7;82621f1a75720fe0f8b2c0d394e51cf54332d915;63c2036;582f650;core/src/main/java/jenkins/slaves/JnlpSlaveAgentProtocol3.java;2
jenkins;120d8b53950318d11bd1a2aa65da1c01eba53583;82621f1a75720fe0f8b2c0d394e51cf54332d915;8533fb6;582f650;core/src/main/java/jenkins/slaves/JnlpSlaveAgentProtocol3.java;2
jenkins;869f66cc075f100a5c03f1a17805d6264d4478df;12a290c44a6f69257d7aab912ea06a992bf3a4bf;5ecbb09;35ec989;core/src/main/java/jenkins/model/Jenkins.java;2
jenkins;4c0d5ea6437000b3dd2bf66a6568271712b612fc;dbe3b5f529747ec162a7f2858a7e0a1a0b2349d9;1d32134;6653b51;core/src/main/java/hudson/util/ReflectionUtils.java;2
jenkins;d049840bcc6478edb09d43d409303bf5787d32d2;2cc3afdebedbe356b7451e382e62a4d62a521208;9a63d6f;a621099;core/src/main/java/hudson/model/ViewJob.java;2
jenkins;0bd065f3d180a1e0bcf7febb3213e72450d324f3;2cc3afdebedbe356b7451e382e62a4d62a521208;cefc52c;9fd9236;core/src/main/java/hudson/model/ViewJob.java;2
jenkins;a621099bf1a9082b115c173a9d9416e8027db298;9a108de4052af482e4a3a0345d0e080ece225de6;0c39e8e;11c81ca;core/src/main/java/hudson/model/ViewJob.java;2
jenkins;32376946b8e97468837f737054933612f21182d4;be195b0e19343bff6d966029d8eea99b2c039c32;ccbe962;11b240c;core/src/main/java/jenkins/security/CallableDirectionChecker.java;2
jenkins;ccbe96227f934ae311714fb9d16f38534966538d;3ba17df3b3a52f6dece82e5da3e95287fd4a64c0;85f356b;7c2254f;core/src/main/java/hudson/model/Queue.java;2
jenkins;1203b091902526620775a3e3603a245b81ed46b4;d030fbbaeeb5ee8980b5680b26217930834387f4;96b973c;be195b0;core/src/main/java/hudson/model/Queue.java;2
jenkins;ee9410d1d2429878629a9166f9333f55a5581ad8;c93635b9e9326586778300e5cbc13c93252e960e;8aafca0;e1d2322;maven-plugin/src/main/java/hudson/maven/reporters/MavenArtifact.java;2
jenkins;de1b368aaa2f7476772e0f0849667c8f73a41fbb;d030fbbaeeb5ee8980b5680b26217930834387f4;f3bfc44;1239ed3;core/src/main/java/hudson/model/Queue.java;2
