project; merge commit ;ancestorSHA; left; right; pathFilesWithIniTBlock;  qtd_static
okhttp;b3e5fef25c5d1434d71f0b25a7c6cf6ea15cba9c;e4c9f43a830d28d8b14efc8ae7758cb843d732c0;cdae153cd;1764fe622;okhttp/src/main/java/okhttp3/internal/Util.java;1
okhttp;a74901501e37aa8dc2939a306e5013f9d1aebe1b;9b9e5bd38d1cd6855cb1b53b1def6d8e668a6f32;716d697e8;03981be75;okhttp/src/main/java/okhttp3/internal/Util.java;1
okhttp;2f1be26582909b25a4ec19054a67c6047b0a0359;b0ac074437ac9c168274120e272cd4b29538a468;ce78c4cc2;7a29af6d9;okhttp/src/main/java/okhttp3/internal/Util.java;1
okhttp;e71965586a75b3fece1ae7a5fcda9936d175983c;795cafd2ac0e00449aa0b84e8b0a4dda859bc7d2;f9cef65e3;fb83491cc;mockwebserver/src/main/java/okhttp3/mockwebserver/MockWebServer.java;1
okhttp;b6e32b4fb01a6a6545d729b99ebe9ee8f86071e6;3f3aebac5b5bb9352eabefa24a40ba2298a0f2a7;abb0a7908;27c8a7930;okhttp-tests/src/test/java/okhttp3/HeadersTest.java;1
okhttp;b6e32b4fb01a6a6545d729b99ebe9ee8f86071e6;3f3aebac5b5bb9352eabefa24a40ba2298a0f2a7;abb0a7908;27c8a7930;okhttp/src/main/java/okhttp3/OkHttpClient.java;1
okhttp;36a4d16b3d7b47ca83624a3bff66cde0cb5fe9f5;89621df62dda5cf73726ce2d5410c82c6f760f00;5e460fd76;9ca7b596a;okhttp/src/main/java/okhttp3/OkHttpClient.java;1
okhttp;e172706b56a8616cf70f8d8285d5f8701c8a36a0;4de39f274d033e9241eb84061d848dfb610d2b67;158692870;a96c3a800;mockwebserver/src/main/java/okhttp3/mockwebserver/MockWebServer.java;1
okhttp;5c7257d8d1c07b66cb7b14832bc0d16b88abcfb5;eecf0e57dc11210962cb60991d9dcebe3dca1c77;90021dcae;219f286fe;mockwebserver/src/main/java/okhttp3/mockwebserver/MockWebServer.java;1
okhttp;7135628c645892faf1a48a8cff464e0ed4ad88cb;413323f10d68e7581431b289971ec780cd0485a6;b2b4f4a70;039bcf92d;mockwebserver/src/main/java/okhttp3/mockwebserver/MockWebServer.java;1
okhttp;ee83d8d26afd92d27fbcd2a328e882f25a5090c6;f1f975bf4be6995821f6ecabd19820e5757691c6;c73dfc3aa;d3675a5e0;okhttp/src/main/java/okhttp3/OkHttpClient.java;1
okhttp;7053d16360bb5cdebe93833a2b5f953548dc0e82;0237d3c3f29b004f4313b2b9fd58830b29cc6311;b40f99a95;60f5406dc;okhttp/src/main/java/com/squareup/okhttp/OkHttpClient.java;1
okhttp;955934836fc466d93d6e41d1ff9391d9e5b3f09a;09637b6d12fc02cbc969844695568feb5a8cb494;8cf76d019;4d068212a;okhttp/src/main/java/com/squareup/okhttp/OkHttpClient.java;1
okhttp;0d8704e252b4a4d43caa63d0d14d9e31bc91ce56;24aa4e897053e7625694fea79e82280ba8acc303;9f5951b31;a8327d121;okhttp/src/main/java/com/squareup/okhttp/ConnectionPool.java;1
okhttp;ff622aff0facbd9a77d630610b3e98c1842d223a;027618dfdc25f28018286864ddf0eee5950d1c41;c34957442;9abf80c98;okhttp/src/main/java/com/squareup/okhttp/OkHttpClient.java;1
okhttp;a4d21865fb791e605c1d9c06e7248b7e9a402084;e52df886b8921f378ec65c0d43f6e129e683039c;1b571d04e;bfac34062;okhttp/src/main/java/com/squareup/okhttp/OkHttpClient.java;1
okhttp;2cf38851d2bbb3c07c25e64faeecb41f6e2466be;7295bb17231893fbbf75cb239d3d7f07b4c353f5;e34ac1400;7d5c42a1b;okhttp/src/main/java/com/squareup/okhttp/OkHttpClient.java;1
