[#, project, merge commit, file, approach, timeStamp]
1,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,InsertionLevelInitializationBlockHandler,0,792
2,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,InsertionLevelInitializationBlockHandler,0,687
3,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,InsertionLevelInitializationBlockHandler,0,643
4,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,InsertionLevelInitializationBlockHandler,0,571
5,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,InsertionLevelInitializationBlockHandler,0,554
1,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,SimpleInitializationBlockHandler,0,547
2,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,SimpleInitializationBlockHandler,0,529
3,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,SimpleInitializationBlockHandler,0,548
4,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,SimpleInitializationBlockHandler,0,501
5,gradle,36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/36658c0bcc3f59bcd357f1dac21dc5b3ecc7acc0/org/gradle/internal/classloader/ClassLoaderUtils,SimpleInitializationBlockHandler,0,509
1,gradle,a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a/org/gradle/internal/nativeplatform/filesystem/FileSystemServices,InsertionLevelInitializationBlockHandler,0,556
2,gradle,a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a/org/gradle/internal/nativeplatform/filesystem/FileSystemServices,InsertionLevelInitializationBlockHandler,0,58
3,gradle,a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a/org/gradle/internal/nativeplatform/filesystem/FileSystemServices,InsertionLevelInitializationBlockHandler,0,569
4,gradle,a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a/org/gradle/internal/nativeplatform/filesystem/FileSystemServices,InsertionLevelInitializationBlockHandler,0,561
5,gradle,a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a/org/gradle/internal/nativeplatform/filesystem/FileSystemServices,InsertionLevelInitializationBlockHandler,0,544
1,gradle,a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a/org/gradle/internal/nativeplatform/filesystem/FileSystemServices,SimpleInitializationBlockHandler,0,525
2,gradle,a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a,C:/UFPE/miningframework/SOOTAnalysisOutput/gradle/a9bddf159f9931abbeb5e5a6c98f04bb2c577b1a/org/gradle/internal/nativeplatform/filesystem/FileSystemServices,SimpleInitializationBlockHandler,0,564
