project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,ConfidentialStoreRule,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,Secret,1,0,0,1,0,0,false,false,true,false,false,true
jenkins,c77a8cb6ce991fab68ec36fefa21605fd53a0bbd,UDPBroadcastThread,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,8991d8a6482909a9dd0627c568e63e02d1beb7f7,Queue,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,8991d8a6482909a9dd0627c568e63e02d1beb7f7,ConfidentialStoreRule,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,8991d8a6482909a9dd0627c568e63e02d1beb7f7,Computer,0,0,0,0,0,0,true,false,false,true,true,true
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,Queue,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,ClassLoaderReflectionToolkit,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,Security218BlackBoxTest,1,1,0,0,0,0,true,false,false,true,false,false
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,CLIActionTest,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,StreamTaskListener,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,ComputerSet,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,UserSeedChangeListenerTest,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,Gadgets,1,1,0,0,0,0,true,false,false,true,false,false
jenkins,681386990da25f95ba31911a88fcae213723d254,Security218BlackBoxTest,1,1,0,0,0,0,true,false,false,true,false,false
jenkins,681386990da25f95ba31911a88fcae213723d254,ClassicPluginStrategy,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,681386990da25f95ba31911a88fcae213723d254,CLICommand,0,0,0,0,0,0,true,false,false,true,true,true
jenkins,681386990da25f95ba31911a88fcae213723d254,DetachedPluginsUtil,0,0,0,0,0,0,true,true,true,true,true,true
jenkins,681386990da25f95ba31911a88fcae213723d254,ProxyConfiguration,0,0,0,0,0,0,true,true,true,true,true,true
