project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
jackson-databind;004522c8fd9180dd84414f894ef61e2367442988;053b5e333badfadb54642590238b2943c43c1717;de46edf32;423689972;src/main/java/com/fasterxml/jackson/databind/ext/DOMDeserializer.java;2
jackson-databind;c818d4d09b05b9ae02238747ab629d2b77fcf631;f9a9122f78d145084b3f2dc2cd982f2ed3cbd199;ad5a63017;03f30bf11;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;03f30bf11c9315c3acd4ec8db97a2f22dbbc2f94;98202a8347d72d550e175a8a8ed0271299d98c03;f9a9122f7;74bfed9c7;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;d254736d6670f564eb462f8fe7e894d285e08d6a;0cee8b1ddbddb6acd004750c382bcbf523d79ad4;9bdc373bc;e66eda977;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;4e0c38c9ea458737a22e1f699c7b44eb86cae38d;274ca7759a20c46e2140be790e134e882c6e72f7;0cee8b1dd;3240cab8a;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;865dc7d32c6afc17dac3cccb4d8028f9791d86b4;fc4214a883dc087070f25da738ef0d49c2f3387e;15f943707;914e7c9f2;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;628ef42a760d248b1d72d530aa732a4dc41583f7;3cc3b016a057890d5cf8bea883b6b8dd05534b0c;a5eaffdee;d33730ce3;src/main/java/com/fasterxml/jackson/databind/ext/OptionalHandlerFactory.java;2
jackson-databind;3cc3b016a057890d5cf8bea883b6b8dd05534b0c;0804135702d8d6f4e86c0ddca14fec56d5e1f760;dfba83d5a;fc4214a88;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;e099ae0681a6dcecc5dc1275412190dd7bc760c2;6c52f589b70e729e68a292f2c8c3bfd88c1bbb12;021e51874;b5a304a98;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;ad77f05f5be78c6177b10054cbadfc7bc2bd4992;9593e16cf5a3d289a9c584f7123639655de9ddac;bc67eb11a;328a0f833;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;e6cb875a7afadc69a977257516cfb394e013bf98;998efd708284778f29d83d7962a9bd935c228317;e8622d00c;9593e16cf;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;fb620efd3127165cb6f11af8fc2757134fb990c8;41b7f9b90149e9d44a65a8261a8deedc7186f6af;819cdbcab;998efd708;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;819cdbcab51c6da9fb896380f2d46e9b7d4fdc3b;191a4cdf87b56d2ddddb77edd895ee756b7f75eb;f4f4a4e03;41b7f9b90;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;29a76b22f4a9482aab2c1908e9bd7c875cf77a37;cac0d4d4a952f0b2b7d16483c03eeb078e36f7ca;a906722d6;191a4cdf8;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;e239b0d2e8c0d908410e89c87de8cb228cdb977a;d4983c740fec7d5576b207a8c30a63d3ea7443de;a498dd8e0;73c1c2cc7;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
jackson-databind;0b887a0dfdeb4c4d3dfeff2807f7ed0920c0e6f7;e51a149829ddea7990fde8c4fb955af35c2d417b;1d3d3f4c3;d4983c740;src/main/java/com/fasterxml/jackson/databind/jsontype/impl/SubTypeValidator.java;2
