[#, project, merge commit, file, approach, timeStamp]
1,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1,654
2,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1,479
3,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1,831
4,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1,816
5,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,1,827
1,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1,795
2,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1,836
3,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1,826
4,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1,792
5,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,1,802
1,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,1,907
2,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,1,857
3,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,1,864
4,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,1,787
5,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,1,837
1,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,SimpleInitializationBlockHandler,1,793
2,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,SimpleInitializationBlockHandler,1,788
