[#, project, merge commit, file, approach, timeStamp]
1,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,InsertionLevelInitializationBlockHandler,2,306
2,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,InsertionLevelInitializationBlockHandler,2,226
3,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,InsertionLevelInitializationBlockHandler,2,105
4,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,InsertionLevelInitializationBlockHandler,2,189
5,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,InsertionLevelInitializationBlockHandler,2,11
1,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,InsertionLevelInitializationBlockHandler,4,456
2,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,InsertionLevelInitializationBlockHandler,3,999
3,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,InsertionLevelInitializationBlockHandler,3,964
4,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,InsertionLevelInitializationBlockHandler,3,938
5,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,InsertionLevelInitializationBlockHandler,3,893
1,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,SimpleInitializationBlockHandler,2,094
2,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,SimpleInitializationBlockHandler,2,087
3,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,SimpleInitializationBlockHandler,2,092
4,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,SimpleInitializationBlockHandler,2,121
5,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,SimpleInitializationBlockHandler,2,117
1,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,SimpleInitializationBlockHandler,3,764
2,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,SimpleInitializationBlockHandler,3,897
3,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,SimpleInitializationBlockHandler,3,919
4,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,SimpleInitializationBlockHandler,3,824
5,jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,SimpleInitializationBlockHandler,4,287
1,jenkins,c77a8cb6ce991fab68ec36fefa21605fd53a0bbd,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/c77a8cb6ce991fab68ec36fefa21605fd53a0bbd/hudson/UDPBroadcastThread,InsertionLevelInitializationBlockHandler,2,186
