[project, merge commit, file, approach, timeStamp]
fastjson,91dd512a86fce9cea7ef0ca1bfde265c5718d3eb,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/91dd512a86fce9cea7ef0ca1bfde265c5718d3eb/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter,InsertionLevelInitializationBlockHandler,2,714 ms
fastjson,91dd512a86fce9cea7ef0ca1bfde265c5718d3eb,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/91dd512a86fce9cea7ef0ca1bfde265c5718d3eb/com/alibaba/fastjson/support/spring/FastJsonHttpMessageConverter,SimpleInitializationBlockHandler,2,425 ms
fastjson,0b269eb6b2414520ee90109bba873560afe5281b,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/0b269eb6b2414520ee90109bba873560afe5281b/com/alibaba/fastjson/parser/ParserConfig,InsertionLevelInitializationBlockHandler,5,014 ms
fastjson,0b269eb6b2414520ee90109bba873560afe5281b,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/0b269eb6b2414520ee90109bba873560afe5281b/com/alibaba/fastjson/parser/ParserConfig,SimpleInitializationBlockHandler,4,715 ms
fastjson,3b370ac07cef990eb0a10eeeb6388b2b91feada8,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/3b370ac07cef990eb0a10eeeb6388b2b91feada8/com/alibaba/fastjson/util/TypeUtils,InsertionLevelInitializationBlockHandler,7,564 ms
fastjson,3b370ac07cef990eb0a10eeeb6388b2b91feada8,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/3b370ac07cef990eb0a10eeeb6388b2b91feada8/com/alibaba/fastjson/util/TypeUtils,SimpleInitializationBlockHandler,6,819 ms
fastjson,8a929a42c5365ecf634b31d014b78d25b43bc3f8,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/8a929a42c5365ecf634b31d014b78d25b43bc3f8/com/alibaba/fastjson/util/TypeUtils,InsertionLevelInitializationBlockHandler,6,793 ms
fastjson,8a929a42c5365ecf634b31d014b78d25b43bc3f8,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/8a929a42c5365ecf634b31d014b78d25b43bc3f8/com/alibaba/fastjson/util/TypeUtils,SimpleInitializationBlockHandler,6,841 ms
fastjson,bdc65e5d3ad1ce6e929704fe56e034967141867b,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/bdc65e5d3ad1ce6e929704fe56e034967141867b/com/alibaba/fastjson/parser/DefaultJSONParser,InsertionLevelInitializationBlockHandler,4,510 ms
fastjson,bdc65e5d3ad1ce6e929704fe56e034967141867b,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/bdc65e5d3ad1ce6e929704fe56e034967141867b/com/alibaba/fastjson/parser/DefaultJSONParser,SimpleInitializationBlockHandler,4,782 ms
fastjson,311487b4e91bf3cea42ebf688bd25570f4e5d37a,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/311487b4e91bf3cea42ebf688bd25570f4e5d37a/com/alibaba/fastjson/parser/ParserConfig,InsertionLevelInitializationBlockHandler,4,059 ms
fastjson,311487b4e91bf3cea42ebf688bd25570f4e5d37a,C:/UFPE/miningframework/SOOTAnalysisOutput/fastjson/311487b4e91bf3cea42ebf688bd25570f4e5d37a/com/alibaba/fastjson/parser/ParserConfig,SimpleInitializationBlockHandler,4,163 ms
