[project, merge commit, file, approach, timeStamp]
jenkins,b1c0adfed46b2166b776bae23b17a4c1ad36ca4f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/b1c0adfed46b2166b776bae23b17a4c1ad36ca4f/org/jenkins/ui/icon/IconSet,InsertionLevelInitializationBlockHandler,5,491 ms
jenkins,b1c0adfed46b2166b776bae23b17a4c1ad36ca4f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/b1c0adfed46b2166b776bae23b17a4c1ad36ca4f/org/jenkins/ui/icon/IconSet,SimpleInitializationBlockHandler,4,231 ms
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,InsertionLevelInitializationBlockHandler,1,253 ms
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,InsertionLevelInitializationBlockHandler,3,359 ms
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/jenkins/security/ConfidentialStoreRule,SimpleInitializationBlockHandler,1,295 ms
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8f61155846fc92536af55f2332dea3db052f3a91/hudson/util/Secret,SimpleInitializationBlockHandler,2,946 ms
jenkins,bdcb2fb2229868168379b6690696a3d95be03ec1,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/bdcb2fb2229868168379b6690696a3d95be03ec1/hudson/util/Secret,InsertionLevelInitializationBlockHandler,2,925 ms
jenkins,bdcb2fb2229868168379b6690696a3d95be03ec1,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/bdcb2fb2229868168379b6690696a3d95be03ec1/hudson/util/Secret,SimpleInitializationBlockHandler,2,852 ms
jenkins,a976bfee1c1f1804b00fd5f84321c1aab39e45c8,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/a976bfee1c1f1804b00fd5f84321c1aab39e45c8/hudson/util/Secret,InsertionLevelInitializationBlockHandler,7,635 ms
jenkins,a976bfee1c1f1804b00fd5f84321c1aab39e45c8,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/a976bfee1c1f1804b00fd5f84321c1aab39e45c8/hudson/util/Secret,SimpleInitializationBlockHandler,4,213 ms
jenkins,c77a8cb6ce991fab68ec36fefa21605fd53a0bbd,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/c77a8cb6ce991fab68ec36fefa21605fd53a0bbd/hudson/UDPBroadcastThread,InsertionLevelInitializationBlockHandler,1,449 ms
jenkins,c77a8cb6ce991fab68ec36fefa21605fd53a0bbd,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/c77a8cb6ce991fab68ec36fefa21605fd53a0bbd/hudson/UDPBroadcastThread,SimpleInitializationBlockHandler,1,413 ms
jenkins,ed9baefc5613a3768d90c2e72aa7edbeb1df1867,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/ed9baefc5613a3768d90c2e72aa7edbeb1df1867/hudson/PluginManager,InsertionLevelInitializationBlockHandler,7,894 ms
jenkins,ed9baefc5613a3768d90c2e72aa7edbeb1df1867,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/ed9baefc5613a3768d90c2e72aa7edbeb1df1867/hudson/PluginManager,SimpleInitializationBlockHandler,7,940 ms
jenkins,8991d8a6482909a9dd0627c568e63e02d1beb7f7,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8991d8a6482909a9dd0627c568e63e02d1beb7f7/hudson/model/Queue,InsertionLevelInitializationBlockHandler,7,399 ms
jenkins,8991d8a6482909a9dd0627c568e63e02d1beb7f7,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8991d8a6482909a9dd0627c568e63e02d1beb7f7/jenkins/security/ConfidentialStoreRule,InsertionLevelInitializationBlockHandler,1,463 ms
jenkins,8991d8a6482909a9dd0627c568e63e02d1beb7f7,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8991d8a6482909a9dd0627c568e63e02d1beb7f7/hudson/model/Queue,SimpleInitializationBlockHandler,8,058 ms
jenkins,8991d8a6482909a9dd0627c568e63e02d1beb7f7,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/8991d8a6482909a9dd0627c568e63e02d1beb7f7/jenkins/security/ConfidentialStoreRule,SimpleInitializationBlockHandler,1,648 ms
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/93375d53f19a3301e8a0ea480be352ef1aa6f384/hudson/model/Queue,InsertionLevelInitializationBlockHandler,1,890 ms
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/93375d53f19a3301e8a0ea480be352ef1aa6f384/jenkins/ClassLoaderReflectionToolkit,InsertionLevelInitializationBlockHandler,1,321 ms
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/93375d53f19a3301e8a0ea480be352ef1aa6f384/hudson/PluginManager,InsertionLevelInitializationBlockHandler,9,791 ms
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/93375d53f19a3301e8a0ea480be352ef1aa6f384/hudson/model/Queue,SimpleInitializationBlockHandler,1,694 ms
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/93375d53f19a3301e8a0ea480be352ef1aa6f384/jenkins/ClassLoaderReflectionToolkit,SimpleInitializationBlockHandler,1,311 ms
jenkins,93375d53f19a3301e8a0ea480be352ef1aa6f384,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/93375d53f19a3301e8a0ea480be352ef1aa6f384/hudson/PluginManager,SimpleInitializationBlockHandler,8,480 ms
jenkins,81b04143299f8efd45072c7b857bcdc722019cde,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/81b04143299f8efd45072c7b857bcdc722019cde/hudson/PluginManager,InsertionLevelInitializationBlockHandler,1,638 ms
jenkins,81b04143299f8efd45072c7b857bcdc722019cde,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/81b04143299f8efd45072c7b857bcdc722019cde/hudson/PluginManager,SimpleInitializationBlockHandler,1,599 ms
jenkins,97db3ad8e7e883c9e7fd8c2dcf6428dede500972,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/97db3ad8e7e883c9e7fd8c2dcf6428dede500972/hudson/model/UpdateCenter,InsertionLevelInitializationBlockHandler,5,427 ms
jenkins,97db3ad8e7e883c9e7fd8c2dcf6428dede500972,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/97db3ad8e7e883c9e7fd8c2dcf6428dede500972/hudson/model/UpdateCenter,SimpleInitializationBlockHandler,5,484 ms
jenkins,c87f52e2211e7f995d4cf1c7e2626095419b5981,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/c87f52e2211e7f995d4cf1c7e2626095419b5981/hudson/PluginManager,InsertionLevelInitializationBlockHandler,1,642 ms
jenkins,c87f52e2211e7f995d4cf1c7e2626095419b5981,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/c87f52e2211e7f995d4cf1c7e2626095419b5981/hudson/PluginManager,SimpleInitializationBlockHandler,1,604 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/jenkins/security/Security218BlackBoxTest,InsertionLevelInitializationBlockHandler,1,421 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/cli/CLIActionTest,InsertionLevelInitializationBlockHandler,1,359 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/PluginManager,InsertionLevelInitializationBlockHandler,6,785 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/model/ComputerSet,InsertionLevelInitializationBlockHandler,1,406 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/util/ProcessTree,InsertionLevelInitializationBlockHandler,5,614 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/jenkins/security/seed/UserSeedChangeListenerTest,InsertionLevelInitializationBlockHandler,1,254 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/jenkins/security/security218/ysoserial/payloads/util/Gadgets,InsertionLevelInitializationBlockHandler,1,299 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/jenkins/security/Security218BlackBoxTest,SimpleInitializationBlockHandler,1,411 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/cli/CLIActionTest,SimpleInitializationBlockHandler,1,356 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/PluginManager,SimpleInitializationBlockHandler,6,746 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/model/ComputerSet,SimpleInitializationBlockHandler,1,348 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/hudson/util/ProcessTree,SimpleInitializationBlockHandler,5,558 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/jenkins/security/seed/UserSeedChangeListenerTest,SimpleInitializationBlockHandler,1,280 ms
jenkins,6efee2875ce58a46588067c127e7883ab63b127f,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/6efee2875ce58a46588067c127e7883ab63b127f/jenkins/security/security218/ysoserial/payloads/util/Gadgets,SimpleInitializationBlockHandler,1,296 ms
jenkins,7c3810a82eb26c2d057cc8528eee37f826ae5cdf,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/7c3810a82eb26c2d057cc8528eee37f826ae5cdf/hudson/util/ProcessTree,InsertionLevelInitializationBlockHandler,5,456 ms
jenkins,7c3810a82eb26c2d057cc8528eee37f826ae5cdf,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/7c3810a82eb26c2d057cc8528eee37f826ae5cdf/hudson/util/ProcessTree,SimpleInitializationBlockHandler,5,681 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/jenkins/security/Security218BlackBoxTest,InsertionLevelInitializationBlockHandler,1,412 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/ClassicPluginStrategy,InsertionLevelInitializationBlockHandler,1,559 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/cli/CLICommand,InsertionLevelInitializationBlockHandler,3,486 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/util/ProcessTree,InsertionLevelInitializationBlockHandler,5,759 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/ProxyConfiguration,InsertionLevelInitializationBlockHandler,1,291 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/model/UpdateCenter,InsertionLevelInitializationBlockHandler,5,807 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/jenkins/security/security218/ysoserial/payloads/util/Gadgets,InsertionLevelInitializationBlockHandler,1,320 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/PluginManager,InsertionLevelInitializationBlockHandler,6,739 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/jenkins/security/Security218BlackBoxTest,SimpleInitializationBlockHandler,1,420 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/ClassicPluginStrategy,SimpleInitializationBlockHandler,1,475 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/cli/CLICommand,SimpleInitializationBlockHandler,3,357 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/util/ProcessTree,SimpleInitializationBlockHandler,6,251 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/ProxyConfiguration,SimpleInitializationBlockHandler,1,302 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/model/UpdateCenter,SimpleInitializationBlockHandler,5,761 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/jenkins/security/security218/ysoserial/payloads/util/Gadgets,SimpleInitializationBlockHandler,1,320 ms
jenkins,681386990da25f95ba31911a88fcae213723d254,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/681386990da25f95ba31911a88fcae213723d254/hudson/PluginManager,SimpleInitializationBlockHandler,6,839 ms
jenkins,4090a64022f45231d44634459197ad6b822d79b4,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/4090a64022f45231d44634459197ad6b822d79b4/hudson/cli/CLICommand,InsertionLevelInitializationBlockHandler,3,360 ms
jenkins,4090a64022f45231d44634459197ad6b822d79b4,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/4090a64022f45231d44634459197ad6b822d79b4/hudson/cli/CLICommand,SimpleInitializationBlockHandler,3,387 ms
jenkins,a026f89ecfd4752b288097f8aba53aecdf93ab24,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/a026f89ecfd4752b288097f8aba53aecdf93ab24/hudson/Util,InsertionLevelInitializationBlockHandler,1,464 ms
jenkins,a026f89ecfd4752b288097f8aba53aecdf93ab24,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/a026f89ecfd4752b288097f8aba53aecdf93ab24/hudson/Util,SimpleInitializationBlockHandler,1,464 ms
jenkins,ab4cd01a8f244e49c4a3548d9160f6610f0edc94,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/ab4cd01a8f244e49c4a3548d9160f6610f0edc94/hudson/util/ProcessTree,InsertionLevelInitializationBlockHandler,5,569 ms
jenkins,ab4cd01a8f244e49c4a3548d9160f6610f0edc94,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/ab4cd01a8f244e49c4a3548d9160f6610f0edc94/hudson/util/ProcessTree,SimpleInitializationBlockHandler,5,645 ms
jenkins,71e78b45b025fbbd8fd8e9c1519a078a59039eeb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/71e78b45b025fbbd8fd8e9c1519a078a59039eeb/hudson/cli/CliProtocol,InsertionLevelInitializationBlockHandler,2,340 ms
jenkins,71e78b45b025fbbd8fd8e9c1519a078a59039eeb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/71e78b45b025fbbd8fd8e9c1519a078a59039eeb/hudson/cli/CLICommand,InsertionLevelInitializationBlockHandler,3,267 ms
jenkins,71e78b45b025fbbd8fd8e9c1519a078a59039eeb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/71e78b45b025fbbd8fd8e9c1519a078a59039eeb/hudson/cli/CliProtocol,SimpleInitializationBlockHandler,2,352 ms
jenkins,71e78b45b025fbbd8fd8e9c1519a078a59039eeb,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/71e78b45b025fbbd8fd8e9c1519a078a59039eeb/hudson/cli/CLICommand,SimpleInitializationBlockHandler,3,228 ms
jenkins,27c49bf0a1a77efa10e928a43212136e13d152d6,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/27c49bf0a1a77efa10e928a43212136e13d152d6/hudson/PluginManager,InsertionLevelInitializationBlockHandler,6,302 ms
jenkins,27c49bf0a1a77efa10e928a43212136e13d152d6,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/27c49bf0a1a77efa10e928a43212136e13d152d6/hudson/PluginManager,SimpleInitializationBlockHandler,6,246 ms
jenkins,146118b2c520fbe9cdb88ae4ada6718bddc5c926,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/146118b2c520fbe9cdb88ae4ada6718bddc5c926/hudson/util/ProcessTree,InsertionLevelInitializationBlockHandler,5,256 ms
jenkins,146118b2c520fbe9cdb88ae4ada6718bddc5c926,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/146118b2c520fbe9cdb88ae4ada6718bddc5c926/hudson/util/ProcessTree,SimpleInitializationBlockHandler,5,163 ms
jenkins,63913f8b018dd66579786272d8923ebad2d6d7ae,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/63913f8b018dd66579786272d8923ebad2d6d7ae/hudson/util/ProcessTree,InsertionLevelInitializationBlockHandler,5,682 ms
jenkins,63913f8b018dd66579786272d8923ebad2d6d7ae,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/63913f8b018dd66579786272d8923ebad2d6d7ae/hudson/util/ProcessTree,SimpleInitializationBlockHandler,5,440 ms
jenkins,896356a03893c300361dd8a3acc3b83f926301b7,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/896356a03893c300361dd8a3acc3b83f926301b7/hudson/ProxyConfiguration,InsertionLevelInitializationBlockHandler,3,167 ms
jenkins,896356a03893c300361dd8a3acc3b83f926301b7,C:/UFPE/miningframework/SOOTAnalysisOutput/jenkins/896356a03893c300361dd8a3acc3b83f926301b7/hudson/ProxyConfiguration,SimpleInitializationBlockHandler,3,292 ms
