project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
accumulo,6338319cf82cd93d16654679417ebb9ef1a33724,Property,1,1,0,true,false,false,true,false,false
accumulo,0a09c287e48485a4909fcdb5343db269898eec80,CertUtils,0,0,0,true,true,true,true,true,true
accumulo,6af856b38bb57f49418547a8b9c262c66a1fe31e,TabletServer,1,1,0,false,false,false,true,false,false
accumulo,a6230566ef784b27adbf19b83c6a7099c8f0a77a,Property,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,AccumuloException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,AccumuloException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,KeyValueAndPeek,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,KeyValueAndPeek,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ThriftSecurityException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ThriftSecurityException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RemoteReplicationException,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RemoteReplicationException,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,MasterClientService,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,MasterClientService,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,DeadServer,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,DeadServer,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,NamespaceNotEmptyException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,NamespaceNotEmptyException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RFileMetricsTest,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RFileMetricsTest,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TDiskUsage,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TDiskUsage,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,NoMoreEntriesException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,NoMoreEntriesException,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TeraSortIngest,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TeraSortIngest,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RestartIT,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,RestartIT,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,Condition,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,Condition,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ThriftScanner,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ThriftScanner,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,Column,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,Column,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,BulkImportStatus,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,BulkImportStatus,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,UnknownWriter,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,UnknownWriter,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,BatchScanOptions,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,BatchScanOptions,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,NativeMap,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,NativeMap,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,Range,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,Range,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TAuthenticationKey,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,TAuthenticationKey,1,1,0,true,false,false,true,false,false
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ActiveScan,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ActiveScan,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,GarbageCollectWriteAheadLogsTest,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,GarbageCollectWriteAheadLogsTest,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ServerConstants,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ServerConstants,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,KeyValues,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,KeyValues,0,0,0,true,true,true,true,true,true
accumulo,be2b3020bdceeee936c6a4f499ea4590d114be5f,ClientService,1,1,0,true,false,false,true,false,false
