[#, project, merge commit, file, approach, timeStamp]
1,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,InsertionLevelInitializationBlockHandler,2,408
2,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,InsertionLevelInitializationBlockHandler,2,49
3,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,InsertionLevelInitializationBlockHandler,2,44
4,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,InsertionLevelInitializationBlockHandler,2,34
5,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,InsertionLevelInitializationBlockHandler,2,419
1,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,SimpleInitializationBlockHandler,2,316
2,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,SimpleInitializationBlockHandler,2,387
3,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,SimpleInitializationBlockHandler,2,324
4,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,SimpleInitializationBlockHandler,2,26
5,OpenTripPlanner,03e32e32c61c8f616e6366ac1e4b1aff69ef7031,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/03e32e32c61c8f616e6366ac1e4b1aff69ef7031/org/opentripplanner/ext/vectortiles/VectorTilesResource,SimpleInitializationBlockHandler,2,306
1,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,InsertionLevelInitializationBlockHandler,0,656
2,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,InsertionLevelInitializationBlockHandler,0,634
3,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,InsertionLevelInitializationBlockHandler,0,62
4,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,InsertionLevelInitializationBlockHandler,0,639
5,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,InsertionLevelInitializationBlockHandler,0,637
1,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,SimpleInitializationBlockHandler,0,642
2,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,SimpleInitializationBlockHandler,0,609
3,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,SimpleInitializationBlockHandler,0,63
4,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,SimpleInitializationBlockHandler,0,613
5,OpenTripPlanner,67c9024b0c1be15aea1c40153e713823484bcf8e,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/67c9024b0c1be15aea1c40153e713823484bcf8e/org/opentripplanner/gtfs/mapping/FrequencyMapperTest,SimpleInitializationBlockHandler,0,622
1,OpenTripPlanner,33e640981381b6e7c77cbc6aede12632fff03aee,C:/UFPE/miningframework/SOOTAnalysisOutput/OpenTripPlanner/33e640981381b6e7c77cbc6aede12632fff03aee/org/opentripplanner/analyst/broker/Broker,InsertionLevelInitializationBlockHandler,2,813
