[#, project, merge commit, file, approach, timeStamp]
1,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,888
2,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,821
3,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,755
4,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,739
5,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,679
1,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,675
2,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,79
3,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,824
4,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,67
5,Singularity,bfd86ce5a15f5fd5089f420704a4178cf3a19334,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/bfd86ce5a15f5fd5089f420704a4178cf3a19334/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,704
1,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,771
2,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,723
3,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,736
4,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,767
5,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,InsertionLevelInitializationBlockHandler,1,799
1,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,756
2,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,729
3,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,746
4,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,716
5,Singularity,328ad919dbc85d30fe29426ebad0bf09cff97cd0,C:/UFPE/miningframework/SOOTAnalysisOutput/Singularity/328ad919dbc85d30fe29426ebad0bf09cff97cd0/com/hubspot/singularity/ExtendedTaskState,SimpleInitializationBlockHandler,1,728
