[#, project, merge commit, file, approach, timeStamp]
1,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,InsertionLevelInitializationBlockHandler,2,026
2,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,InsertionLevelInitializationBlockHandler,1,895
3,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,InsertionLevelInitializationBlockHandler,1,797
4,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,InsertionLevelInitializationBlockHandler,1,855
5,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,InsertionLevelInitializationBlockHandler,1,846
1,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,SimpleInitializationBlockHandler,1,903
2,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,SimpleInitializationBlockHandler,1,763
3,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,SimpleInitializationBlockHandler,1,729
4,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,SimpleInitializationBlockHandler,1,739
5,ambrose,234c97d95279a78b3e105ee844c4540459adb507,C:/UFPE/miningframework/SOOTAnalysisOutput/ambrose/234c97d95279a78b3e105ee844c4540459adb507/com/twitter/ambrose/util/JSONUtil,SimpleInitializationBlockHandler,1,757
