[#, project, merge commit, file, approach, timeStamp]
1,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,InsertionLevelInitializationBlockHandler,0,717
2,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,InsertionLevelInitializationBlockHandler,0,729
3,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,InsertionLevelInitializationBlockHandler,0,709
4,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,InsertionLevelInitializationBlockHandler,0,691
5,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,InsertionLevelInitializationBlockHandler,0,677
1,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,SimpleInitializationBlockHandler,0,672
2,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,SimpleInitializationBlockHandler,0,672
3,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,SimpleInitializationBlockHandler,0,675
4,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,SimpleInitializationBlockHandler,0,669
5,auto,867d489e2e783ff3d00d9a53d9a44f5a0a10d56d,C:/UFPE/miningframework/SOOTAnalysisOutput/auto/867d489e2e783ff3d00d9a53d9a44f5a0a10d56d/com/google/auto/value/processor/TemplateVars,SimpleInitializationBlockHandler,0,686
