[#, project, merge commit, file, approach, timeStamp]
1,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,InsertionLevelInitializationBlockHandler,0,883
2,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,InsertionLevelInitializationBlockHandler,0,797
3,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,InsertionLevelInitializationBlockHandler,0,78
4,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,InsertionLevelInitializationBlockHandler,0,736
5,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,InsertionLevelInitializationBlockHandler,0,671
1,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,SimpleInitializationBlockHandler,0,71
2,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,SimpleInitializationBlockHandler,0,713
3,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,SimpleInitializationBlockHandler,0,72
4,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,SimpleInitializationBlockHandler,0,733
5,cxf,846d6c701c152f93e10a63ff110fd358c304e5b3,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/846d6c701c152f93e10a63ff110fd358c304e5b3/org/apache/cxf/aegis/type/XMLTypeCreator,SimpleInitializationBlockHandler,0,705
1,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,InsertionLevelInitializationBlockHandler,0,626
2,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,InsertionLevelInitializationBlockHandler,0,67
3,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,InsertionLevelInitializationBlockHandler,0,663
4,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,InsertionLevelInitializationBlockHandler,0,653
5,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,InsertionLevelInitializationBlockHandler,0,66
1,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,SimpleInitializationBlockHandler,0,651
2,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,SimpleInitializationBlockHandler,0,656
3,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,SimpleInitializationBlockHandler,0,621
4,cxf,d9a1164c341c10db5d34cea3265eb8d5099f3edf,C:/UFPE/miningframework/SOOTAnalysisOutput/cxf/d9a1164c341c10db5d34cea3265eb8d5099f3edf/org/apache/cxf/transport/http_jetty/JettyHTTPDestination,SimpleInitializationBlockHandler,0,662
