project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
elasticsearch;5a02999484655003357627a7b0d0dec1be1da55b;f629292d54d9ca3844a22115b3cb63c006294b73;0bf0f52014f;6bf8b19e864;x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/XPackSettings.java;4
elasticsearch;80ee7943c9d091f1f747d109897e26c24dfe1499;bdf632b6f99d851ad5963d765375751757265a5d;034c7655b78;f8f521bad4b;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;77789a733d5bb4a466f015f24da59f8d2a65fba3;e0fef52058ee842a3639b3be6bc7d02ad7b91bec;7e356ac29ba;d00b23c8b13;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;97f74c5a3893186e340527817ec2d14c71ab3abb;fe623acf66cbf4b86e0ce0be153cae87c389877a;7a3cd10718d;e0fef52058e;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;c9e4d26a531f213094b89b6956d2dddbbb5a6567;5e0b524aa5e8e7f6715b4a37288bcebcc98b6fb1;f6ac0e4bbca;f1135ef0ceb;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;3e7042832acfffad4de4214ad6491b147f5157b0;89dc07bdd958574810fea533c87d2bf3c3d2b38a;099baafe0d2;70871b5af78;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;3de266e3cf43d5a41b10f277156cf849fbaddc83;030e8c8fe35b380d9a7024b5e4e58485b0882411;e13ce66a3c2;fe623acf66c;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;a9eae1d0687fd93170ac3f79cd5f06b0c67961b5;3522b9084b611c89ec4f06c1863542883840ed0e;a127805b4a6;d7893fd1e45;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;0b4a6ae97ce1e5b7b70863ac5d5dd580e482cc12;0c77f45dc66a448fc37e5cf8a1984282083fc28f;6551b4f651a;3522b9084b6;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;8e59de3eb2df9915e4878702fbd3edd55d019ffa;f441bb87ad9d9089a9a826d0fa9c7eb64ce4faf6;5a349ec0e6f;7d3b99a9b79;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;a2cd8f731ed494c16e1ecc7281843b1b76de6811;dce72c798508ce48e91a50f684113868f8fc9a25;a0d32f59475;ea3fdc90c69;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;e2c1beb1be5b47d124903883bc31be8a648c8c03;a84a20844be0bbb39c7e063e33691f8d3e0a8380;3eef74d5d58;9310d2eaf32;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;3eef74d5d582c19c29d7a297a120004bf4d38930;bbbb11a698ed556de14cc3fcfb365a60493519b9;ada3e710f6a;a84a20844be;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;53300670337686f4c89a559213c70c26d90a302f;6dd0aa54f6d0ad44219b3b416438b1be57cb37e5;88d8cadf3ff;ad4dd086d2c;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;573a9e6443b49c453919e17cfdcf20d41f8e6312;9ae6905657b310ede5d968d71f4f3265eb26db5b;1acdd379689;a9a9598e02a;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;cd89ca268597851ceafdf26c990264b56af46c2d;8ec33b742dc09eebdfba7233d28c61bcb30d5ec5;952859d87d2;b4087d69d2f;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;2b53510b4f264058be62a42c1420271281f53583;7313a987f4a8ba1e39d6105f7d74be9186faa95b;b848ff27a60;8b698f0bce8;server/src/main/java/org/elasticsearch/action/admin/indices/mapping/get/GetFieldMappingsResponse.java;2
elasticsearch;eee1a451fc3159e2d6f85692a741c85f54cb8a20;340313b0482dbddde07b64172d668d27277e35bb;5d52f297cc5;dc57eece753;x-pack/plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;de15f7123bb4063ff526527cab7547312de96c23;97e018f1bd287a1cb8b89381f2a974ac2284c75f;2be9cabbe92;c0790d6a491;plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;6330209e7dea5033dfe2dae1eafe38c96630f921;19874e35ee1e9503017cde5e403821819710722b;51a6285ba1a;698ad621502;plugin/core/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;4680e1e166bc571c49b7569d4d1636cfabf0bbcf;51b80aa99834fc7178ac6e1c134f2b78077841da;a8e92729945;c92a2165177;plugin/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;fdd98f01edbea1773f084ffd6e95c2397ac4fc3f;e7b5702f502cdd55e1ab4c38f7a9d632644b3a9a;42dd1947cd4;64e2f4c93c8;plugin/src/main/java/org/elasticsearch/license/XPackLicenseState.java;4
elasticsearch;e042c7730118145623600c20f0da14e15da67720;1baa884ab784c4bd78b719d1ea3b4f7fc42dc3bf;b1f0d8f4cf4;e36e5fc9941;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;2c0338fa87fb1469cec52d6f4ef5b2e20fd3c703;4c53e55d34194b0f4904682c98160e56ae5c140f;ee722d738ac;568a7ea5f19;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;c7a1b3eb5046cc509a94de67e77c18090725b1a4;1fde26347affe49225135decac2f54cd0e3b390e;fac6cf0d4e3;19decd75525;test/framework/src/main/java/org/elasticsearch/test/ESTestCase.java;4
elasticsearch;e293000d8db4b1164aaaab1ca013c30182d0230c;f98be6fa062795a5421102d90f3dd4cff58bb3a1;bd94c62adf4;387155559ea;modules/lang-painless/src/main/java/org/elasticsearch/painless/antlr/PainlessParser.java;6
elasticsearch;9e0a70c4b2cc28a27ecdad3f3cc1b2e76519019a;6202b63ba741f24734dab74c2cbe77440dbd958b;edb0fd3b888;f98be6fa062;modules/lang-painless/src/main/java/org/elasticsearch/painless/antlr/PainlessParser.java;6
