project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
kotlin;9b19685ec1582f8e7855a56af8bbc1f5de4fb6fb;6da8ba3feca87f77b77977762f58a2db2dfc21bd;8f24d1e18be;26a6af2765b;idea/src/org/jetbrains/jet/plugin/quickfix/QuickFixes.java;2
kotlin;842916222023183f401630a3496ac06d9da62673;b2bb581127dea24acbbad36962c70802ccfbd6a6;fc3a413fbaa;acbccb94111;idea/src/org/jetbrains/jet/plugin/highlighter/JetHighlighter.java;2
kotlin;a4c02da10d9b27fe2df58044cad8980ceec7218b;1d08bf7895bfd18d2d69b7622418757e33d956d0;edbbc6ec7be;d396c084548;idea/src/org/jetbrains/jet/plugin/quickfix/QuickFixes.java;2
kotlin;7245b05426113eae38c7a8056b6d1d0fe5a72807;881de132f7d6757e902ce55eb06c1c501c587439;c53b88cc009;23ce144f9d1;idea/src/org/jetbrains/jet/plugin/quickfix/QuickFixes.java;2
kotlin;707957e8c16daba72b8a6c42db2c5693e0169b48;881de132f7d6757e902ce55eb06c1c501c587439;3d4a5256e6b;58a8c0ed08d;idea/src/org/jetbrains/jet/plugin/quickfix/QuickFixes.java;2
kotlin;18b6b53288b1ab17facfad6509be238cbbeac64d;bc6c8e980e6c1a31ce949cbaca2db015a32e91e2;1cc54d178cd;0c0232f42b1;compiler/frontend/src/org/jetbrains/jet/lang/diagnostics/rendering/DefaultErrorMessages.java;2
kotlin;d3041d410e140c8900289ea6565607638223a6e2;7b4fda4345d4e60dc9cd1ac4f4195a6e3e412954;a4ffb7c9d94;4478f2dc4a3;compiler/frontend/src/org/jetbrains/jet/lang/diagnostics/rendering/DefaultErrorMessages.java;2
kotlin;d09916ca385e715ce8790e5cd2a8421fd2525471;a91a53f7f19c43c004ddd5924373e5819c1e8601;216cbf7d9af;3d86084a8e4;confluence/src/main/java/org/jetbrains/jet/lexer/JetMacro.java;4
kotlin;d604591c5c51919d0541ce3e8d21568811c4088a;3cf7a44840b5c9a5d17f2bc618e46a7f48582337;a984b609bc9;076768b4751;compiler/frontend/src/org/jetbrains/jet/lang/parsing/JetExpressionParsing.java;4
kotlin;639644d22768d6cf73bc104a3f3f3d32ce10e2e6;cc52c0f1c1a84821b0d020d7f210ffaadec3949e;dca537ce702;ebf29263f13;translator/src/org/jetbrains/k2js/translate/OperatorTable.java;6
kotlin;bfac08235e2efcf51c4fd35edbf6116e6c53742d;4cf00a8548babaa5a16ff4d39373f1e9a03b51a7;e0d597a1bc5;a2721d33097;idea/src/org/jetbrains/jet/lang/parsing/JetExpressionParsing.java;4
kotlin;9a7e43b0f15b1027fbd2c39dec56e677248648a1;0210a495c3a8709119d749aaaf0e6d93a71b900b;9625ae5d95a;dcdb39a7168;idea/src/org/jetbrains/jet/lang/types/JetTypeInferrer.java;6
kotlin;b75354f4b968037946c4f7b7660f6c11ed0d97db;82dabdc8d5c3fd3d81d8830bfcf938b7bf90268d;63aecd285e9;797f9fcc562;idea/src/org/jetbrains/jet/lang/types/JetStandardClasses.java;6
kotlin;5aad7021afb8c7ffbc843f9b24d297aa1c0cef8c;1966d6d12c0edd49d39bed056b47eaad51d51a18;29dba62144d;7848122d8d3;idea/src/org/jetbrains/jet/lang/types/JetTypeInferrer.java;6
kotlin;45ca9c25881ece967b65a9d8d8ad8dade1fb7ed2;e57ed7401d3eabab5f8927effd7307876edc9f42;77d425dc42c;d9bbecfaee7;idea/src/org/jetbrains/jet/lang/types/JetTypeInferrer.java;6
kotlin;019fee5cb725a691aaabf686549f2bc8a5e70064;c6964220f0bdbaf249453b116816c57a5a6985ce;87531929c76;725ac373eed;idea/src/org/jetbrains/jet/lang/types/JetStandardClasses.java;6
