project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
lucene-solr;6b87cfb88c1ad428f3b6affb53aef1ed49949ab8;4d46caa05d01e6f7e2b3a3b432906eb45732bbfe;a8099d63679;7b8e72e5531;solr/core/src/java/org/apache/solr/core/CoreContainer.java;4
lucene-solr;08d2c2d0df7d030a2f68e63e2660ee7f38d1a3cf;2cda4184c943206a01927eb7bcfa14df895cc413;fb5ba8c9de6;567706041d9;lucene/core/src/java/org/apache/lucene/util/RamUsageEstimator.java;4
lucene-solr;6a8768e3959e6bb1beb8082ed9f4cc6807f94aff;faeb1fe8c16f9e02aa5c3bba295bc24325b94a07;ee2be2024e6;ea79c668c7e;solr/solrj/src/java/org/apache/solr/client/solrj/impl/LBHttpSolrClient.java;4
lucene-solr;2e7f5f9283519d8aefd31e241b9307ff61d72173;382ffdb63677ea694c35c26ff29ac8d5032dba17;d5d478e116c;97761966f30;solr/core/src/java/org/apache/solr/handler/SQLHandler.java;2
lucene-solr;bd6804bc6312c1a1d18294b5a670cc5eba7c9f48;b62c6715df12616785732cc1011e11fe4faa16ca;b1b2c799aa1;8e784699f00;lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java;10
lucene-solr;d2a5c103266ed3499c989d653f2c38c9e72e443a;732b8fb3b9d0e1a215c0f02b99a0c8847ecf7039;24f55abfd50;4569fd732aa;lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java;10
lucene-solr;05cf3fde0d909a492df8e82c119c4b632defc709;5a409e6ed4be788345ccb5b6e14e380334b2424f;a411d8af6cd;03f49700744;lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java;10
lucene-solr;63c2842d8722c7871d9e76b79158de6ea8fa3ae0;0aa0bb19e35a661eee2d59debed99142cdfa338d;ce2f7e9c8cd;5755634db6a;lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java;8
lucene-solr;943f0cab2675473911fd3e7dc7a9cf1e8c29083e;2899801a3dfafa46733d997f4a95def599312c7b;5767c9a835e;5fc6651fc2e;lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java;7
lucene-solr;c72e8820a1b696be90c02b66857618f585c98f9c;f99edee7a3123278d2302654a1fa5f02f90db4b1;8cf904fd8ea;34edcdc5154;lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java;6
lucene-solr;bc43bebedf2908766ea946a2df649bdf41088f22;b7b064311574ae11ec4cefb423ff2cfe496dd402;6bf76b1015e;f99edee7a31;lucene/test-framework/src/java/org/apache/lucene/util/LuceneTestCase.java;5
