project; merge commit ;ancestorSHA; left; right; hasIniatializationBlock;  qtd_static
spring-framework;82823517fa45899c6ebd951b20023e4a2d9dae54;deabd669394800053047bb7b2562473b12189f04;4207c4d757;5f02323b9c;spring-web/src/main/java/org/springframework/web/util/UrlPathHelper.java;4
spring-framework;dfae4eec2db313b1e246b99c25f22a4c90f85d58;c942c8d2cf510b1fac6c4e79224ddf7cdcf358e1;56fc64dd14;3c3ae32f07;spring-core/src/main/java/org/springframework/cglib/core/ReflectUtils.java;4
spring-framework;ce5076ffe80900a4ffc19f80e1cbf1ebb0dfab7c;e608b367135fe232d359bd878085e609d2465a17;94e3738a94;d1d6eb095e;spring-core/src/main/java/org/springframework/cglib/core/ReflectUtils.java;4
spring-framework;a15393836c74d4ba755a8021cdf09b77ae607d72;98ce171b30a09cadbf37593a1448ad011f75a7b6;b5ffcfb4ba;e9083d7d20;spring-web/src/main/java/org/springframework/web/util/UrlPathHelper.java;4
spring-framework;ec947065a9e4549dac9f1848eab55d5012bb0359;ff1485fd8d6581edce2ad9bfbe2eb36d2efae8cc;5acc3228f7;c6ce65ef56;spring-web/src/main/java/org/springframework/web/util/UrlPathHelper.java;4
spring-framework;f6a392c5ae373c0a4b3ecdffcf6f985cb0e5db13;4f44ae3f282b72d7051a2ac67ec5b001ebd9e884;dc5807ea51;f64f07049d;spring-core/src/main/java/org/springframework/cglib/core/ReflectUtils.java;4
spring-framework;dc5807ea51b189acc7090036f9b5a4732280139a;bfa01b35df42c526253866a4b601e8be83746a4b;a4b74a320e;4f44ae3f28;spring-core/src/main/java/org/springframework/cglib/core/ReflectUtils.java;4
spring-framework;030ba52805a7c513fa196e97d54543b6e3972cae;040445612f157827e7ee199c2d6af55cbd2497bc;3ad796e913;96e4d3a530;spring-web/src/main/java/org/springframework/web/util/UrlPathHelper.java;4
spring-framework;4d7fa9a632b08fd5e7fd7669e4d6c159e17783c4;3be2b32e21ad91b94346a1b9f8cf58fb3ea48ced;1e6c0d2f7b;040445612f;spring-context/src/main/java/org/springframework/context/annotation/CommonAnnotationBeanPostProcessor.java;2
spring-framework;8f96ca4a2d82607a511dbb5b5e10e9f1c43ebe54;09a1b87d37d074ee1ed96bf6a71ccab44018db0b;774583dfa7;1f8c233dfc;spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java;2
spring-framework;1c1bc41e247a957ba749cef4bff1b773adf5f415;ca7fb23432a4ad235c50fa01c72b5816aec38882;7d7ed88739;eb11c6fa23;spring-web/src/main/java/org/springframework/web/util/UrlPathHelper.java;4
spring-framework;929244215cdc49f5fab0ea3a0efe18c0fe0da42a;4f65ba4e74096e2391a576d865aaa1ec7c2a70ff;94f1d77e22;ae8d0d4a12;spring-core/src/main/java/org/springframework/util/ClassUtils.java;2
spring-framework;3c0233198353cc4bbaf8b19542be590cbfb140cb;c9a86e1ff438368f630107baea637a0b1e4f262e;8494c7a75a;fc178ef7c2;spring-context/src/main/java/org/springframework/context/support/ContextTypeMatchClassLoader.java;4
spring-framework;e091e399dcf0323fbe509b267bfc5ce176571eb8;fae32cea8ed26d4839da62097393909a0b3dc854;6d674f7836;f1168ea453;org.springframework.context.support/src/main/java/org/springframework/scheduling/quartz/QuartzJobBean.java;2
