[#, project, merge commit, file, approach, timeStamp]
1,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,InsertionLevelInitializationBlockHandler,6,996
2,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,InsertionLevelInitializationBlockHandler,7,233
3,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,InsertionLevelInitializationBlockHandler,6,544
4,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,InsertionLevelInitializationBlockHandler,6,961
5,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,InsertionLevelInitializationBlockHandler,6,24
1,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,SimpleInitializationBlockHandler,6,492
2,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,SimpleInitializationBlockHandler,6,08
3,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,SimpleInitializationBlockHandler,6,055
4,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,SimpleInitializationBlockHandler,5,906
5,databus,dd39e049bb83bbacfea80ed5547270a812151211,C:/UFPE/miningframework/SOOTAnalysisOutput/databus/dd39e049bb83bbacfea80ed5547270a812151211/com/linkedin/databus/client/consumer/TestMultiConsumerCallback,SimpleInitializationBlockHandler,5,845
