[#, project, merge commit, file, approach, timeStamp]
1,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,65
2,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,643
3,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,671
4,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,658
5,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,677
1,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,641
2,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,621
3,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,65
4,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,632
5,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,635
