[#, project, merge commit, file, approach, timeStamp]
1,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,InsertionLevelInitializationBlockHandler,0,686
2,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,InsertionLevelInitializationBlockHandler,0,718
3,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,InsertionLevelInitializationBlockHandler,0,703
4,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,InsertionLevelInitializationBlockHandler,0,725
5,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,InsertionLevelInitializationBlockHandler,0,681
1,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,SimpleInitializationBlockHandler,0,688
2,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,SimpleInitializationBlockHandler,0,69
3,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,SimpleInitializationBlockHandler,0,725
4,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,SimpleInitializationBlockHandler,0,821
5,mongo-java-driver,abcda1758e27015e6b7059298cb3e4a007ec75c2,C:/UFPE/miningframework/SOOTAnalysisOutput/mongo-java-driver/abcda1758e27015e6b7059298cb3e4a007ec75c2/com/mongodb/ReadPreference,SimpleInitializationBlockHandler,0,765
