[#, project, merge commit, file, approach, timeStamp]
1,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,InsertionLevelInitializationBlockHandler,1,294
2,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,InsertionLevelInitializationBlockHandler,1,556
3,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,InsertionLevelInitializationBlockHandler,1,462
4,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,InsertionLevelInitializationBlockHandler,1,549
5,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,InsertionLevelInitializationBlockHandler,1,569
1,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,SimpleInitializationBlockHandler,1,61
2,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,SimpleInitializationBlockHandler,1,439
3,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,SimpleInitializationBlockHandler,1,331
4,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,SimpleInitializationBlockHandler,1,407
5,processing,0ac37bca1d0c7c12667a9c0628fba63b31c1f135,C:/UFPE/miningframework/SOOTAnalysisOutput/processing/0ac37bca1d0c7c12667a9c0628fba63b31c1f135/processing/core/PApplet,SimpleInitializationBlockHandler,1,444
