project,merge commit
jenkins,f952411b8647caafbead84249d4c7b68f7d8c649
jenkins,511b42a073230dde6a0f587b24886ba81f0515e8
jenkins,142f8dcc619df011cd483e3d2586d19410717c98
k-9,31c80ed98a662bb6a488d447ec9dbc0d71df6d9a
cgeo,1bbdbf5480bbe0525dbda0731e53a8d47603506b
Activiti,d9dbfca0281591baa1e7cd6190b47c9e6a8db857
Activiti,40132f40fcd6ec58a62e4c16f855d98d1ab150e4
Activiti,4c24e0c07555f77b6276939dc880d6710a31615e
Activiti,8bd3f12d0cb790450a4e95ecda92b15cf1de4597
Activiti,eeb2438c70a0f34451c9bf106362b1abb5bd7be1
Activiti,5c3f72e821eee3ce090779b3015ba6908281fd2b
Activiti,73665a8f442082d075b2453ce740eb69702965b0
commafeed,a42222858f21453d14eb1fb720764fb0bc98289a
commons,127673d5be943584dc8bd03ab89273186ab9abea
kotlin,5d91e54f41f31231bd266532a3ee1039d4fe13e3
kotlin,f77ba914c7523f1569d213268222c648bcb9f4f7
kotlin,cc9573a9a05bcb7b1eddfc1561f39eec118691ba
kotlin,724fbdb3f6e2fa9b826d08b44ac67473fa621ff7
kotlin,a330eff8411cc6c002deeecfdc61906c1598db12
kotlin,6c618acbd3ca161a26354097b36fe977c144d666
kotlin,8d71b63fecf26a96d85866c7d4de473d46185e61
kotlin,d4fd8b14a6026eec481695fcff967a6ebbac93c8
kotlin,301b0292e25d0517d6f23d4ee2a01ea05f8c9715
kotlin,1cefe50e6e3192ab2ee6b3f635ed3360e00cc535
kotlin,043e3a6a029081bbf01e77e13f25a38f15b55bec
kotlin,adc32667944cd23bfd72721813c04b809740f389
kotlin,6bebbb92a0b65bba30db356be83596238eda1d07
kotlin,3519c57938950bc72351beb18ab262bea1b1a16d
kotlin,760bdbc5e00a2c9c6d189dd6259550067588966c
kotlin,a00e93ee07ea4a34ba8e0713c4088372df8fd644
kotlin,a99ec0c5faa67ffbfd52548d82826e3870b52765
kotlin,3c562fc658c66e2daf14f3f5dac14a1b31bdfabb
kotlin,00a08661181e6f48f81be75448ff85b4d5a5f095
kotlin,3a93226e3dee9bf8380e4aca87ba209bc11b0d75
kotlin,7c55bf93154f2077746b24b1beebb8edc20a1419
junit,82672bf48672d7f9d60aabdbc61cb7b3e7e3807b
gradle,0631b371499f6210fa2feefb27eab1b466212008
gradle,51729f404a599c433ea3a174fb84fe91e773f8e8
Essentials,2b191534a835d5638ca5cdf309365896b7b352f0
Equivalent-Exchange-3,ff5d87bb8168e8e248a4fc3928890d5d6c744903
spring-framework,934bc4f9537a3e801e469bf9901846f877f241b0
Singularity,04ff2e01e6bcdf4a2d3ad3b8c320fd6aa493dfe5
RxJava,9c2c93e160cab24f50caf3750fd7d5bf29f9240b
BroadleafCommerce,a70eb51a7db3a25da4b7e494e717ee05cddeb2ae
Spout,e2ea1e57e3ed792dbcd7331a542da870286ebfd2
Spout,a8a7df8f2217af74f8b24adb6758a6b34ab78b70
Spout,d1da6850a418e666a3ee62d28e5ea4e235336295
roboguice,ffebc4df3c33bea92d6e84903ed620609070a5ad
roboguice,5c9b69b837d8e2b222a899822959c3bc6d79cffe
roboguice,48f75d8db63e30ffc8f997c4a66a3e1670940ed9
roboguice,f67186893d750c6417eab01d7abad3c8b1667813
roboguice,2f8d054fc66284e2cfac62af2589d453a0bd94d4
gocd,27886b71c3cfc6e02da0f3ffb62013f87031c84c
HikariCP,1efa1e63d4b474ea5aa9359e0a73642f4dd358f9
processing,85c2d5d54c465dc06a4b9b7722d0fd65427833d6
processing,4e2ed4355315478a11751407a62f2b397fe54171
databus,b3b680114aaac12d6aa42be61862c874feefd42e
elasticsearch,d74fb9eb4559077e2d20b19a9ed62d9ff825027a
elasticsearch,cbd38983f43ea0a6812ddc40acff2ce355e824b6
elasticsearch,cf607e79d7b67c1bf87c06ef7f738b31dd832a6e
elasticsearch,1b3d529bef3cd7048b1cb021b1c280a7c5b7985b
elasticsearch,a164586796e99f4ee022b362ff4edc5f4a9d79c1
elasticsearch,64fdb0eeb08e63947a6324468104e8fe621f887c
elasticsearch,a04a9777d47f9423ccb518092eedad68336f70f8
elasticsearch,b3088d50a181a15db7597b24325751a555599bd1
elasticsearch,68ba0d9babc5025e9bd613aef714ce81ff02d514
elasticsearch,3ab627b72fa44415d26adc1f0a9f011763303fc2
elasticsearch,f3228e394d90a5f6aa89fd06415da7521b54fa1d
elasticsearch,0d328b07bdf16c0d2e1aa921bae39d844e8af6a9
elasticsearch,263bc6bff805ee18f9d86069c4cb73aa988e3ef6
elasticsearch,87df2b21da4f36699f433e80af859bb170979ec0
elasticsearch,7294d27e5cddab35c1a130a43a062cd216eb0608
elasticsearch,63a9ae4e2b17584c98b3a8f4d68d25920899fb4d
eureka,2bb2e203f02faa877bc9524d0f0cc88f604f6ec1
exhibitor,7c68b7de496053d157a77e4af1385bbdbb476e22
fitnesse,81b6e77f3c6d3074030319c95082fdfd3c16eced
fitnesse,bed01c6f616e756f306e8affd0bef071428f8916
flyway,0975ad57911bd85d216464ce7a8dfe2c3f309643
gephi,c376f88ca8f5408962c52def2436f006c1639e54
gephi,1766aa7636941731123e31f07ffac246788420e7
astyanax,3625eef999ea8520fccc6c05c091237f64704245
astyanax,87376518519e72d3c2fcd297e40a91b9f01926b2
cucumber-jvm,6d59874da5161ad796856162506e9a4693c22602
curator,c1fe95648f67ef8a8f90b8300d375f836ba87cad
curator,96f1abaec8b6b0a916f2545ba45c6628ee1e2849
dagger,97a20f2b9c64fc34ff3e00a9c843cae38b8a9403
andlytics,d8747c6127f009328cc87a6dccae24c03bf4c754
andlytics,d8747c6127f009328cc87a6dccae24c03bf4c754
graylog2-server,a1a22b9cb4d3404c0bbaa25bf00617c08ce3682b
graylog2-server,2c38926eb5e42cfb75b022f4a4196a2eaeec140d
graylog2-server,305fc48d1d22e9c3d595cbceaeb24850fbd1ca03
graylog2-server,34ce9b5d18c869297e0e5fcbf92fd05676d0395b
graylog2-server,a4f22187ab1c6b34c4f6e2d5db902490735e6a95
graylog2-server,bbb9ef3b93f990b41f996b3ec096bb24cde2cae0
graylog2-server,386c39d02c1279f83b59bd527bbf0f49a296b6fa
graylog2-server,eb34790b27ccd950112f0ae05a4f52399b50d181
graylog2-server,35aa558d6da5adaf73ae599b0574f7e8f363ddba
graylog2-server,e4b83fb0a6fb6dc27ce7fee6e9a79738774fdc13
okhttp,8508ae98fd2fc176996acdc50221803b0c226624
lucene-solr,7e7087212bbaedbbc65eb698252d4c0e79838345
astyanax,3625eef999ea8520fccc6c05c091237f64704245
astyanax,87376518519e72d3c2fcd297e40a91b9f01926b2
