[#, project, merge commit, file, approach, timeStamp]
1,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,6,16
2,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,5,666
3,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,5,735
4,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,5,675
5,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,InsertionLevelInitializationBlockHandler,5,7
1,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,777
2,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,743
3,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,763
4,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,691
5,Open-MCT,b59e31a9eab3396da5f469b47df015b126718ccc,C:/UFPE/miningframework/SOOTAnalysisOutput/Open-MCT/b59e31a9eab3396da5f469b47df015b126718ccc/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel,SimpleInitializationBlockHandler,5,629
