project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts
Osmand,edeb56dcceb8c29cebfb616e3d2aec0e6dbcd374,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,dc92703d2a0abcadf00366b2e481a8b035ade5de,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,484c4eeae2d93d75bb5a2c1b673085fdf2da31ec,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,6ada5793ee43a84f2351ec819dc88213253c0050,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,72c62e24d8fc41d2ff3b911fa03a313535360517,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,58935316ddfc6b988274095bd31ae68250464e01,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,68fad0d8cc3985e5707cf8010da4ba4b3ef514f3,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,be3d0a42b36d1c47414ac81e9767a190fce7c949,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,f0e2deae59faf20ff856488ac198a08bbd49bbfc,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,9da662bf1b6f621ac63fa651c96f07a27a37f967,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,19d43de380edbb3bfed088c8be6a6c559190b8b2,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,c7f18b1143ebdcc6dfe4245e6e7cd5f49d3b2267,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,3a098619871d6c95a8e3322de0284ef6f7c90e76,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,b7be71b6a4bd7f1f7987333bd69fa7dec5a363b1,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,b82f8ef6277c4c50af342e874e781a0e91c9c3f3,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,1eed2766bd46c1dfb16cedbe88713ff27bd76059,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,24732a39d837f8a76e4b4d3172fd1e0a48039511,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,5c61cf4c8d3c678f556ad8dba9073bac9c93a6f1,CommonWords,2,2,0,1,1,0,true,false,false,true,false,false
Osmand,496fd93db5809c91c387790dc98ab906b6dc5307,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,04fab5368300c5f17a002659478278b6d2e1c785,WidgetsRegister,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,daade4fe7ee61a62ce3fd9b65f13cc6cc55ebc21,OsmandSettings,0,0,0,0,0,0,true,false,false,true,true,true
Osmand,a061972b420643876b356f9b4d24b64816a1c445,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,db4af188b1b2ca7f4f0b634ff1d5877d11248c21,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,a81632e7443a798b1062100add9b5559608ffa51,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,b44099d69151018da98974a169160c001b1f706c,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,44907874ddb6366881bf217da27f7647bd368a0a,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,d7a76ed6591b31db979985541c5b8d90da9dd5ba,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,71fc9f6bd65e30668ad8d12c66f7da8c465f6241,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,88fec16492cd11d0c06c7b054af3746946f1f7ff,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,622f91a47e2706b8ebd49368fd86d34d2745081d,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,2b7af2d4f491cccfe4065f005811d80cd9fbad3b,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,dbf615efb368d8160a5372b2f47602c7f566bb36,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,e3ba086e35828db7526c8fa51d41b7066c294fda,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,5a111989e9adff45d4601708f54baf380e4f9149,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,3aa854b4d0f1134133b5a9357f8253076844e27c,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
Osmand,825a255752c679e9ed3a1c9da0f2980a276dd98d,OsmandSettings,0,0,0,0,0,0,true,true,true,true,true,true
