project; merge commit ;ancestorSHA; left; right; pathFilesWithIniTBlock;  qtd_static
OpenTripPlanner;8b0a404c3e0393325d40a44d936548257d4d6277;284151959fc581b53b49085a992d87df41a640bb;4732d99106;092fda8d28;src/ext/java/org/opentripplanner/ext/vectortiles/VectorTilesResource.java;1
OpenTripPlanner;eb5af7f889c4ce226260ef74f0859035250e4ddb;c2f42cfb0292cc189b951b0a386024f6e5186f37;563284653d;61e8a58823;src/main/java/org/opentripplanner/standalone/config/routerconfig/updaters/VehicleParkingUpdaterConfig.java;1
OpenTripPlanner;a65ca3be9c60a427a0967750bb0c22f2621da5e0;7d61de3fadd2e649e9ba7c55dd1e667b45e774d4;8ceb1b0dff;c2f42cfb02;src/main/java/org/opentripplanner/standalone/config/updaters/VehicleParkingUpdaterConfig.java;1
OpenTripPlanner;a65ca3be9c60a427a0967750bb0c22f2621da5e0;7d61de3fadd2e649e9ba7c55dd1e667b45e774d4;8ceb1b0dff;c2f42cfb02;src/ext/java/org/opentripplanner/ext/vectortiles/VectorTilesResource.java;1
OpenTripPlanner;d3251a6bece5800689f34d11608a17569624a014;bf7393218303a4734adf098c04c84fde64f9d6c9;fe47ade193;7d61de3fad;src/test/java/org/opentripplanner/standalone/config/framework/JsonSupport.java;1
OpenTripPlanner;fea6bd20ebe1943829741e22240183b5dd5a6c46;921b363cb43299c62db917d4b69d4cbbf47a94d6;1a8bdbb1c3;16483a2568;src/ext/java/org/opentripplanner/ext/vectortiles/VectorTilesResource.java;1
OpenTripPlanner;20affb8b0ff9c314a93be6bfa14f57956357b143;bfd9726202d9b1ee6e459f8569a5f1b433083adb;5741d14a85;7d61de3fad;src/ext/java/org/opentripplanner/ext/vectortiles/VectorTilesResource.java;1
OpenTripPlanner;7d61de3fadd2e649e9ba7c55dd1e667b45e774d4;18fd721ce41562f785625f8091f477f06374bd57;4c0c1ebeb0;4ea0e35cb6;src/ext/java/org/opentripplanner/ext/vectortiles/VectorTilesResource.java;1
OpenTripPlanner;03e32e32c61c8f616e6366ac1e4b1aff69ef7031;efe8374473b611c2aac59e9e861f64991fb55737;7ab98bbffe;5adf05dc35;src/main/java/org/opentripplanner/standalone/config/updaters/VehicleParkingUpdaterConfig.java;1
OpenTripPlanner;03e32e32c61c8f616e6366ac1e4b1aff69ef7031;efe8374473b611c2aac59e9e861f64991fb55737;7ab98bbffe;5adf05dc35;src/ext/java/org/opentripplanner/ext/vectortiles/VectorTilesResource.java;1
OpenTripPlanner;95adf3e8d334b77650924ae7213ffcb946e88c31;399f4e3c01ecf53acce76e638c4740e3f59a7fc3;a0f0fe687f;74b68cfe2a;src/main/java/org/opentripplanner/standalone/config/updaters/VehiclePositionsUpdaterConfig.java;1
OpenTripPlanner;95adf3e8d334b77650924ae7213ffcb946e88c31;399f4e3c01ecf53acce76e638c4740e3f59a7fc3;a0f0fe687f;74b68cfe2a;src/main/java/org/opentripplanner/standalone/config/UpdatersConfig.java;1
OpenTripPlanner;ba98a4d0e63b9eb4dcf842bf88aa8347d95c2a21;726b6d61351c0368f61a782af3d7dff69112dde4;271ad958b6;399f4e3c01;src/main/java/org/opentripplanner/standalone/config/UpdatersConfig.java;1
OpenTripPlanner;509a19202f09726702dadb61def197f650c1b5b7;c36436b99a587743b6edfc77b8fd5fe2b9745094;dd9af6f050;8f78ee88db;src/test/java/org/opentripplanner/routing/street/BicycleRoutingTest.java;1
OpenTripPlanner;c1029a9d20f441120ef36e640cded3645ae3819b;98ce547dcfa09e4ade73c7726e2bbb9dff881cc9;8f40911b67;e7aa8a894b;src/test/java/org/opentripplanner/gtfs/mapping/TripMapperTest.java;1
OpenTripPlanner;9f87779ca897e335b39148f00c29c4c7d44d109a;0265f08645474daa07f62d225a59a0a91aef85d7;7197ff3e1c;98ce547dcf;src/test/java/org/opentripplanner/routing/algorithm/raptoradapter/transit/mappers/McCostParamsMapperTest.java;1
OpenTripPlanner;9f87779ca897e335b39148f00c29c4c7d44d109a;0265f08645474daa07f62d225a59a0a91aef85d7;7197ff3e1c;98ce547dcf;src/test/java/org/opentripplanner/routing/street/BicycleRoutingTest.java;1
OpenTripPlanner;67c9024b0c1be15aea1c40153e713823484bcf8e;917ea7c853f36847a01ec9b078caace1795e6572;683afc5395;5798be8094;src/test/java/org/opentripplanner/gtfs/mapping/FrequencyMapperTest.java;2
OpenTripPlanner;67c9024b0c1be15aea1c40153e713823484bcf8e;917ea7c853f36847a01ec9b078caace1795e6572;683afc5395;5798be8094;src/test/java/org/opentripplanner/gtfs/mapping/TripMapperTest.java;1
OpenTripPlanner;67c9024b0c1be15aea1c40153e713823484bcf8e;917ea7c853f36847a01ec9b078caace1795e6572;683afc5395;5798be8094;src/test/java/org/opentripplanner/gtfs/mapping/FareRuleMapperTest.java;1
OpenTripPlanner;67c9024b0c1be15aea1c40153e713823484bcf8e;917ea7c853f36847a01ec9b078caace1795e6572;683afc5395;5798be8094;src/test/java/org/opentripplanner/gtfs/mapping/RouteMapperTest.java;1
OpenTripPlanner;67c9024b0c1be15aea1c40153e713823484bcf8e;917ea7c853f36847a01ec9b078caace1795e6572;683afc5395;5798be8094;src/test/java/org/opentripplanner/gtfs/mapping/TransferMapperTest.java;1
OpenTripPlanner;67c9024b0c1be15aea1c40153e713823484bcf8e;917ea7c853f36847a01ec9b078caace1795e6572;683afc5395;5798be8094;src/test/java/org/opentripplanner/gtfs/mapping/StopTimesMapperTest.java;1
OpenTripPlanner;21b89e91522cf30daa100243f528a0385029e33f;8ee54fda3c987cafdf4f3ad2d36120678a28ac73;be1b9924e4;a8fd652e89;src/test/java/org/opentripplanner/gtfs/mapping/RouteMapperTest.java;1
OpenTripPlanner;b84b0d495ca9b07e75e0b3abeec01b8e25fd5fa1;ee0859bf29a6863ecfee583bfb649c44815fad9b;1da1c0d6e3;8274c81a3f;src/test/java/org/opentripplanner/gtfs/mapping/RouteMapperTest.java;1
OpenTripPlanner;05f7f709a74a5b9552cc5bfd353f5f9784899291;37bd51ec468c8514154c4391ad59a030efd85dea;8c5de7bf6d;93ecd799dc;src/test/java/org/opentripplanner/routing/trippattern/TripTimesTest.java;1
OpenTripPlanner;458e10cea54a83a9300c8d57732e101f5e710e1b;f1b43ce4e904d88a6015a8d7001112a1ceab7b35;7d579230c6;46da2958bf;src/test/java/org/opentripplanner/gtfs/mapping/FareRuleMapperTest.java;1
OpenTripPlanner;48e664b9e23bbb808ee181410117b24a51aacba0;495703c57240b429ee4c19daff7c94f7176cb8ec;33927ac343;d90ea9ad97;src/main/java/org/opentripplanner/standalone/server/OTPWebApplication.java;1
OpenTripPlanner;48e664b9e23bbb808ee181410117b24a51aacba0;495703c57240b429ee4c19daff7c94f7176cb8ec;33927ac343;d90ea9ad97;src/main/java/org/opentripplanner/standalone/OTPMain.java;1
OpenTripPlanner;48e664b9e23bbb808ee181410117b24a51aacba0;495703c57240b429ee4c19daff7c94f7176cb8ec;33927ac343;d90ea9ad97;src/test/java/org/opentripplanner/routing/street/BicycleRoutingTest.java;1
OpenTripPlanner;b1f98b54ae65d1d9b7dbaa03732d5a582fc1085f;6758f9170bb1c1914ee035a9086cf3f1dd1727c7;287d649b9f;9b0b8b02c6;src/main/java/org/opentripplanner/standalone/server/OTPWebApplication.java;1
OpenTripPlanner;d018fc35bbcaaa52cf517717504365c1eac53d1f;25a88c05406bff0835ee20dbd63e5d85bc879f8a;259ddd10a0;c48b2e7c47;src/test/java/org/opentripplanner/routing/street/BicycleRoutingTest.java;1
OpenTripPlanner;ccb7793d6e102285de7eb25903d7cf690c0004d9;caf5481f3c165086a000450a6cb20121a4e67268;30a2c396bf;f58775543a;src/test/java/org/opentripplanner/transit/raptor/speed_test/model/testcase/ItineraryResultMapper.java;1
OpenTripPlanner;b652a9bc937d01f9abdfab208cc7a2733bf39480;d299946489833d0bd658c1513c553944ec71f658;bc83ff68ff;ff5ba603da;src/test/java/org/opentripplanner/graph_builder/module/osm/NorwayWayPropertySetSourceTest.java;1
OpenTripPlanner;83d82b56e0fe527fd667b080a531c5e4b675e632;5551c4fb7e79f5db2428852eda499ae47285aebd;54bf69c1ce;d299946489;src/test/java/org/opentripplanner/routing/trippattern/FrequencyEntryTest.java;1
OpenTripPlanner;83d82b56e0fe527fd667b080a531c5e4b675e632;5551c4fb7e79f5db2428852eda499ae47285aebd;54bf69c1ce;d299946489;src/test/java/org/opentripplanner/routing/trippattern/TripTimesTest.java;1
OpenTripPlanner;fa5200f76f5b9f8c3c9bcf088926c2afb5ee3098;88a17c0a7ea7007b0e260b98a6a91d9805979aed;fa92b8b2d6;d299946489;src/test/java/org/opentripplanner/routing/algorithm/transferoptimization/services/OptimizePathDomainServiceTest.java;1
OpenTripPlanner;216abfaa1b195714b6ca62a04903c7299de68671;88a17c0a7ea7007b0e260b98a6a91d9805979aed;17e16dc225;d299946489;src/test/java/org/opentripplanner/transit/raptor/speed_test/model/testcase/ItineraryResultMapper.java;1
OpenTripPlanner;9864d873d23285409a3eb81445d9a536f35df379;7585d1b0e8c4a6b77e296752b8fe26c4d824d6ae;8c9402f7e0;eb66d88f78;src/test/java/org/opentripplanner/gtfs/mapping/PathwayNodeMapperTest.java;1
OpenTripPlanner;9864d873d23285409a3eb81445d9a536f35df379;7585d1b0e8c4a6b77e296752b8fe26c4d824d6ae;8c9402f7e0;eb66d88f78;src/test/java/org/opentripplanner/gtfs/mapping/BoardingAreaMapperTest.java;1
OpenTripPlanner;9864d873d23285409a3eb81445d9a536f35df379;7585d1b0e8c4a6b77e296752b8fe26c4d824d6ae;8c9402f7e0;eb66d88f78;src/test/java/org/opentripplanner/gtfs/mapping/EntranceMapperTest.java;1
OpenTripPlanner;9864d873d23285409a3eb81445d9a536f35df379;7585d1b0e8c4a6b77e296752b8fe26c4d824d6ae;8c9402f7e0;eb66d88f78;src/test/java/org/opentripplanner/gtfs/mapping/StopAndStationMapperTest.java;1
OpenTripPlanner;688a57b608d36473a608dbf8e8967cdc3e4b46dd;7585d1b0e8c4a6b77e296752b8fe26c4d824d6ae;8dd5f2bf36;53dc30c5e2;src/test/java/org/opentripplanner/gtfs/mapping/TripMapperTest.java;1
OpenTripPlanner;fa8a6b88525379e17830d4d539882ff449a3dfcb;d6add3c2a5e0fb1926d613dcb81eddd1019a1aec;607ed32577;6ca32de4a7;src/test/java/org/opentripplanner/routing/trippattern/TripTimesTest.java;1
OpenTripPlanner;1b0f58b23304da5c2d440881cd6510c9a5e546d0;0a0729f5323c2d8de70d10355ec66ab78d7df4be;d9bd159e2a;6ca32de4a7;src/test/java/org/opentripplanner/gtfs/mapping/PathwayNodeMapperTest.java;1
OpenTripPlanner;1b0f58b23304da5c2d440881cd6510c9a5e546d0;0a0729f5323c2d8de70d10355ec66ab78d7df4be;d9bd159e2a;6ca32de4a7;src/test/java/org/opentripplanner/gtfs/mapping/BoardingAreaMapperTest.java;1
OpenTripPlanner;1b0f58b23304da5c2d440881cd6510c9a5e546d0;0a0729f5323c2d8de70d10355ec66ab78d7df4be;d9bd159e2a;6ca32de4a7;src/test/java/org/opentripplanner/gtfs/mapping/EntranceMapperTest.java;1
OpenTripPlanner;1b0f58b23304da5c2d440881cd6510c9a5e546d0;0a0729f5323c2d8de70d10355ec66ab78d7df4be;d9bd159e2a;6ca32de4a7;src/test/java/org/opentripplanner/gtfs/mapping/StopAndStationMapperTest.java;1
