[#, project, merge commit, file, approach, timeStamp]
1,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,InsertionLevelInitializationBlockHandler,1,076
2,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,InsertionLevelInitializationBlockHandler,0,982
3,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,InsertionLevelInitializationBlockHandler,0,836
4,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,InsertionLevelInitializationBlockHandler,0,826
5,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,InsertionLevelInitializationBlockHandler,0,806
1,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,SimpleInitializationBlockHandler,0,804
2,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,SimpleInitializationBlockHandler,0,774
3,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,SimpleInitializationBlockHandler,0,813
4,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,SimpleInitializationBlockHandler,0,767
5,jdk,9c19d89c9c564e436732c5f7851f4960fb5d783c,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/9c19d89c9c564e436732c5f7851f4960fb5d783c/jdk/internal/util/xml/impl/Parser,SimpleInitializationBlockHandler,0,794
1,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,0,432
2,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,0,505
3,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,0,489
4,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,0,479
5,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,InsertionLevelInitializationBlockHandler,0,494
1,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,0,471
2,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,0,484
3,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,0,49
4,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,0,5
5,jdk,803cb8a76827a21fcf9e033b4ca6a777c509169b,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/803cb8a76827a21fcf9e033b4ca6a777c509169b/InvalidGlobalFilterTest,SimpleInitializationBlockHandler,0,482
1,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,InsertionLevelInitializationBlockHandler,0,859
2,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,InsertionLevelInitializationBlockHandler,0,895
3,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,InsertionLevelInitializationBlockHandler,0,881
4,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,InsertionLevelInitializationBlockHandler,0,911
5,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,InsertionLevelInitializationBlockHandler,0,903
1,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,SimpleInitializationBlockHandler,0,878
2,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,SimpleInitializationBlockHandler,0,862
3,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,SimpleInitializationBlockHandler,0,857
4,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,SimpleInitializationBlockHandler,0,848
5,jdk,1f5e21a16e1bb9a7291b38cedf4269717bbbe428,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/1f5e21a16e1bb9a7291b38cedf4269717bbbe428/java/math/BigInteger,SimpleInitializationBlockHandler,0,871
1,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,0,544
2,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,0,49
3,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,0,484
4,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,0,486
5,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,InsertionLevelInitializationBlockHandler,0,476
1,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,SimpleInitializationBlockHandler,0,475
2,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,SimpleInitializationBlockHandler,0,479
3,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,SimpleInitializationBlockHandler,0,486
4,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,SimpleInitializationBlockHandler,0,491
5,jdk,7c3d72fd3ae4caacb711eb876b0d8787b16d50c9,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/7c3d72fd3ae4caacb711eb876b0d8787b16d50c9/TestUnsafeUnalignedSwap,SimpleInitializationBlockHandler,0,483
1,jdk,4862d0d542229c533a71f895495ab2eca7dddbf2,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/4862d0d542229c533a71f895495ab2eca7dddbf2/com/sun/org/slf4j/internal/Logger,InsertionLevelInitializationBlockHandler,1,724
2,jdk,4862d0d542229c533a71f895495ab2eca7dddbf2,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/4862d0d542229c533a71f895495ab2eca7dddbf2/com/sun/org/slf4j/internal/Logger,InsertionLevelInitializationBlockHandler,1,813
3,jdk,4862d0d542229c533a71f895495ab2eca7dddbf2,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/4862d0d542229c533a71f895495ab2eca7dddbf2/com/sun/org/slf4j/internal/Logger,InsertionLevelInitializationBlockHandler,1,737
4,jdk,4862d0d542229c533a71f895495ab2eca7dddbf2,C:/UFPE/miningframework/SOOTAnalysisOutput/jdk/4862d0d542229c533a71f895495ab2eca7dddbf2/com/sun/org/slf4j/internal/Logger,InsertionLevelInitializationBlockHandler,1,57
