[#, project, merge commit, file, approach, timeStamp]
1,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,InsertionLevelInitializationBlockHandler,1,254
2,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,InsertionLevelInitializationBlockHandler,1,271
3,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,InsertionLevelInitializationBlockHandler,1,084
4,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,InsertionLevelInitializationBlockHandler,1,249
5,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,InsertionLevelInitializationBlockHandler,0,929
1,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,SimpleInitializationBlockHandler,0,812
2,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,SimpleInitializationBlockHandler,0,809
3,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,SimpleInitializationBlockHandler,0,805
4,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,SimpleInitializationBlockHandler,0,828
5,libgdx,2d89744c3df4cd9264c5957d47af2ef782942caf,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/2d89744c3df4cd9264c5957d47af2ef782942caf/org/jbox2d/common/MathUtils,SimpleInitializationBlockHandler,0,849
1,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,InsertionLevelInitializationBlockHandler,0,713
2,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,InsertionLevelInitializationBlockHandler,1,033
3,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,InsertionLevelInitializationBlockHandler,0,918
4,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,InsertionLevelInitializationBlockHandler,0,926
5,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,InsertionLevelInitializationBlockHandler,0,841
1,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,806
2,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,852
3,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,851
4,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,1,026
5,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,InsertionLevelInitializationBlockHandler,0,956
1,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,SimpleInitializationBlockHandler,0,888
2,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,SimpleInitializationBlockHandler,0,849
3,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,SimpleInitializationBlockHandler,0,872
4,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,SimpleInitializationBlockHandler,0,863
5,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/AndroidDaydream,SimpleInitializationBlockHandler,0,776
1,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,846
2,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,748
3,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,657
4,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,666
5,libgdx,d69890cf0c49557e5e9e22a8777dfaa98928cb36,C:/UFPE/miningframework/SOOTAnalysisOutput/libgdx/d69890cf0c49557e5e9e22a8777dfaa98928cb36/com/badlogic/gdx/utils/Timer,SimpleInitializationBlockHandler,0,647
