project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of GitMergeFile conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of GitMergeFile for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = GitMergeFile output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = GitMergeFile output,SimpleInitializationBlockHandler output = Actual output,GitMergeFile output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = GitMergeFile conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = GitMergeFile conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts,GitMergeFile conflicts = Actual conflicts
ImmersiveEngineering,13d4d6819f1614b9d98c217723323a57bd34d178,IERenderTypes,1,1,0,0,1,1,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,63b1c5046a9459c06fa20b9437ad46be412365eb,IEClientConfig,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,63b1c5046a9459c06fa20b9437ad46be412365eb,IECommonConfig,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,b275297dea1a14d6e1afe835e7d43a16eeabbcb2,IEClientConfig,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,49b4201abea6d0e010901cf0ffa41dc7e4163f57,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,8e470335d79aa31c749115a9ef82a78ecb0654ae,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,79eb2f542c53eadd7b95ad1e861889bbbef9cf2f,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,79eb2f542c53eadd7b95ad1e861889bbbef9cf2f,FluidPumpTileEntity,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,34c85317d48eb971dc7f654e478814249e128964,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,34c85317d48eb971dc7f654e478814249e128964,FluidPumpTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,be9ea54833812280c074c2bab023abc0ceecb137,RecipeSerializers,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,bccc25e6342eaf07edc63e27bcb9f3412c331059,FluidPipeTileEntity,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,bccc25e6342eaf07edc63e27bcb9f3412c331059,ModelConfigurableSides,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,bccc25e6342eaf07edc63e27bcb9f3412c331059,FluidPumpTileEntity,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,bccc25e6342eaf07edc63e27bcb9f3412c331059,ClientUtils,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,a7deecd61f58776755562420832bbdc0940da767,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,a7deecd61f58776755562420832bbdc0940da767,FluidPumpTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,2cb90ca3b2086d7838c8ad8a4de3ee4df120a186,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,2cb90ca3b2086d7838c8ad8a4de3ee4df120a186,FluidPumpTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,1527ab48a2404d32b311584c9c114eee62a34e08,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,c273610cf7151e99d46c500d6d367b6a05544a29,DynamicModelLoader,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,7c11b9743d5eaa8f2c177b0d206fe70933d6b0fc,FluidPumpTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,641fa76a51a3484620f40b8a8e51e51b83723840,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,641fa76a51a3484620f40b8a8e51e51b83723840,FluidPumpTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,2e4c2f57e7f15762b190e50422e3e3ade5b1e450,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,090584acf75cb0aba41860fca1f3d4f7d6e3bc7d,FluidPipeTileEntity,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,41b5343d709db3f0e78681cc3ebefc115eaa6fc7,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,552144172c73b48635b78e7af0d2367f9b000ea4,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,552144172c73b48635b78e7af0d2367f9b000ea4,SmartLightingQuad,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,552144172c73b48635b78e7af0d2367f9b000ea4,OBJHelper,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,552144172c73b48635b78e7af0d2367f9b000ea4,DynamicModelLoader,5,5,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,552144172c73b48635b78e7af0d2367f9b000ea4,MultiLayerModel,2,2,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,c1074723d1d194d4beb3aebcbdda24bad733a89c,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,c1074723d1d194d4beb3aebcbdda24bad733a89c,SmartLightingQuad,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,c1074723d1d194d4beb3aebcbdda24bad733a89c,OBJHelper,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,c1074723d1d194d4beb3aebcbdda24bad733a89c,DynamicModelLoader,4,4,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,c1074723d1d194d4beb3aebcbdda24bad733a89c,MultiLayerModel,2,2,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,3a8e76c37146e1d3499b88e0a5317bda592b9644,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,92fda9b3f8ab574a6742be3d06926a522defa58b,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,48a25fed07805253332a17da6372a0855034d585,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,48a25fed07805253332a17da6372a0855034d585,FluidPumpTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,8c747c3a149fb2ddda147eff7df7d4e57f693855,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,23a2808a996b0333bbb0e3c28c15e3fc9c0ba8ff,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,6ae86407089cd4bf06c17986f199f2a837dc0e30,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,40a7f41c4d079260884794112cf3eba0a80441de,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,40a7f41c4d079260884794112cf3eba0a80441de,IEFontRender,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,40a7f41c4d079260884794112cf3eba0a80441de,OBJHelper,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,40a7f41c4d079260884794112cf3eba0a80441de,DynamicModelLoader,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,40a7f41c4d079260884794112cf3eba0a80441de,MultiLayerModel,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,e8656684ca89aa08a4f191812fd1536ccd435dea,FluidPipeTileEntity,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
ImmersiveEngineering,f06988b0ec451e69ef72af82ab0b9b5731dcbf75,ModelConfigurableSides,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
