project;timeStamp
swagger-core;2,181
swagger-core;1,94
swagger-core;2,122
swagger-core;2,066
swagger-core;2,093
swagger-core;1,499
swagger-core;1,488
swagger-core;1,375
swagger-core;1,374
swagger-core;1,387
swagger-core;1,399
swagger-core;1,379
swagger-core;1,394
swagger-core;1,4
swagger-core;1,361
opengrok;0,64
opengrok;0,688
opengrok;0,574
opengrok;0,614
opengrok;0,592
opengrok;0,638
opengrok;0,61
opengrok;0,65
opengrok;0,594
opengrok;0,648
opengrok;0,522
opengrok;0,545
opengrok;0,503
opengrok;0,49
opengrok;0,494
opengrok;0,552
opengrok;0,533
opengrok;0,544
opengrok;0,548
opengrok;0,535
opengrok;3,46
opengrok;3,265
opengrok;3,269
opengrok;3,262
opengrok;3,24
opengrok;0,618
opengrok;0,745
opengrok;0,748
opengrok;0,649
opengrok;0,615
opengrok;0,643
opengrok;0,607
opengrok;0,582
opengrok;0,605
opengrok;0,603
opengrok;2,493
opengrok;2,525
opengrok;4,106
opengrok;4,176
opengrok;4,144
opengrok;4,403
opengrok;4,339
opengrok;4,604
opengrok;4,221
opengrok;4,337
ImmersiveEngineering;2,706
ImmersiveEngineering;2,642
ImmersiveEngineering;2,526
ImmersiveEngineering;2,457
ImmersiveEngineering;2,563
ImmersiveEngineering;1,877
ImmersiveEngineering;2,014
ImmersiveEngineering;1,966
ImmersiveEngineering;1,915
ImmersiveEngineering;1,906
ImmersiveEngineering;1,606
ImmersiveEngineering;1,587
ImmersiveEngineering;1,63
ImmersiveEngineering;1,618
ImmersiveEngineering;1,606
ImmersiveEngineering;1,991
ImmersiveEngineering;1,959
ImmersiveEngineering;1,99
ImmersiveEngineering;2,052
ImmersiveEngineering;2,067
ImmersiveEngineering;3,796
ImmersiveEngineering;4,097
ImmersiveEngineering;3,869
ImmersiveEngineering;3,823
ImmersiveEngineering;3,749
ImmersiveEngineering;3,984
ImmersiveEngineering;4,067
ImmersiveEngineering;4,261
ImmersiveEngineering;3,972
ImmersiveEngineering;4,062
ImmersiveEngineering;6,586
ImmersiveEngineering;4,027
ImmersiveEngineering;4,924
ImmersiveEngineering;4,029
ImmersiveEngineering;4,218
ImmersiveEngineering;2,958
ImmersiveEngineering;3,012
ImmersiveEngineering;3,025
ImmersiveEngineering;2,999
ImmersiveEngineering;3,001
ImmersiveEngineering;4,428
ImmersiveEngineering;4,456
ImmersiveEngineering;3,986
ImmersiveEngineering;3,801
ImmersiveEngineering;3,911
ImmersiveEngineering;2,627
ImmersiveEngineering;2,586
ImmersiveEngineering;2,627
ImmersiveEngineering;2,587
ImmersiveEngineering;2,785
ImmersiveEngineering;1,518
ImmersiveEngineering;1,55
ImmersiveEngineering;1,521
ImmersiveEngineering;1,523
ImmersiveEngineering;1,492
ImmersiveEngineering;4,701
ImmersiveEngineering;4,605
ImmersiveEngineering;4,566
ImmersiveEngineering;4,504
ImmersiveEngineering;4,426
ImmersiveEngineering;0,589
ImmersiveEngineering;0,532
ImmersiveEngineering;0,516
ImmersiveEngineering;0,52
ImmersiveEngineering;0,535
ImmersiveEngineering;2,714
ImmersiveEngineering;2,741
ImmersiveEngineering;2,822
ImmersiveEngineering;2,817
