project;timeStamp
swagger-core;1,894
swagger-core;1,904
swagger-core;1,844
swagger-core;2,023
swagger-core;1,941
swagger-core;1,489
swagger-core;1,476
swagger-core;1,52
swagger-core;1,434
swagger-core;1,457
swagger-core;1,4
swagger-core;1,52
swagger-core;1,676
swagger-core;1,46
swagger-core;1,555
opengrok;0,56
opengrok;0,577
opengrok;0,564
opengrok;0,569
opengrok;0,552
opengrok;0,612
opengrok;0,598
opengrok;0,628
opengrok;0,595
opengrok;0,631
opengrok;0,513
opengrok;0,514
opengrok;0,502
opengrok;0,509
opengrok;0,501
opengrok;0,529
opengrok;0,542
opengrok;0,548
opengrok;0,529
opengrok;0,55
opengrok;3,218
opengrok;3,207
opengrok;3,161
opengrok;3,222
opengrok;3,272
opengrok;0,614
opengrok;0,6
opengrok;0,595
opengrok;0,591
opengrok;0,596
opengrok;0,578
opengrok;0,603
opengrok;0,59
opengrok;0,593
opengrok;0,602
opengrok;3,287
opengrok;4,109
opengrok;2,573
opengrok;2,722
opengrok;2,484
opengrok;2,818
opengrok;2,875
opengrok;2,844
opengrok;2,902
opengrok;2,842
ImmersiveEngineering;2,214
ImmersiveEngineering;2,211
ImmersiveEngineering;2,337
ImmersiveEngineering;2,358
ImmersiveEngineering;2,348
ImmersiveEngineering;1,944
ImmersiveEngineering;1,902
ImmersiveEngineering;1,731
ImmersiveEngineering;1,783
ImmersiveEngineering;1,733
ImmersiveEngineering;1,584
ImmersiveEngineering;1,499
ImmersiveEngineering;1,616
ImmersiveEngineering;1,51
ImmersiveEngineering;1,59
ImmersiveEngineering;1,894
ImmersiveEngineering;1,982
ImmersiveEngineering;1,937
ImmersiveEngineering;1,978
ImmersiveEngineering;2,062
ImmersiveEngineering;3,898
ImmersiveEngineering;4,14
ImmersiveEngineering;4,102
ImmersiveEngineering;4,174
ImmersiveEngineering;4,019
ImmersiveEngineering;4,12
ImmersiveEngineering;4,402
ImmersiveEngineering;3,985
ImmersiveEngineering;4,142
ImmersiveEngineering;4,094
ImmersiveEngineering;4,153
ImmersiveEngineering;3,949
ImmersiveEngineering;4,221
ImmersiveEngineering;4,134
ImmersiveEngineering;4,059
ImmersiveEngineering;2,98
ImmersiveEngineering;3,043
ImmersiveEngineering;3,014
ImmersiveEngineering;2,967
ImmersiveEngineering;3,01
ImmersiveEngineering;3,847
ImmersiveEngineering;3,814
ImmersiveEngineering;3,976
ImmersiveEngineering;3,804
ImmersiveEngineering;3,944
ImmersiveEngineering;2,701
ImmersiveEngineering;2,467
ImmersiveEngineering;2,638
ImmersiveEngineering;2,584
ImmersiveEngineering;2,644
ImmersiveEngineering;1,441
ImmersiveEngineering;1,451
ImmersiveEngineering;1,402
ImmersiveEngineering;1,416
ImmersiveEngineering;1,422
ImmersiveEngineering;4,672
ImmersiveEngineering;4,634
ImmersiveEngineering;4,637
ImmersiveEngineering;4,652
ImmersiveEngineering;4,668
ImmersiveEngineering;0,624
ImmersiveEngineering;0,571
ImmersiveEngineering;0,578
ImmersiveEngineering;0,52
ImmersiveEngineering;0,533
ImmersiveEngineering;2,701
ImmersiveEngineering;2,79
ImmersiveEngineering;2,878
ImmersiveEngineering;2,812
ImmersiveEngineering;2,835
ImmersiveEngineering;6,018
ImmersiveEngineering;5,845
ImmersiveEngineering;5,92
ImmersiveEngineering;5,943
ImmersiveEngineering;5,978
ImmersiveEngineering;3,995
ImmersiveEngineering;3,847
ImmersiveEngineering;3,829
ImmersiveEngineering;4,076
ImmersiveEngineering;3,867
ImmersiveEngineering;2,621
ImmersiveEngineering;2,686
ImmersiveEngineering;2,618
ImmersiveEngineering;2,719
ImmersiveEngineering;2,628
ImmersiveEngineering;4,024
ImmersiveEngineering;3,873
ImmersiveEngineering;3,862
ImmersiveEngineering;4,045
ImmersiveEngineering;3,893
ImmersiveEngineering;2,594
ImmersiveEngineering;2,645
ImmersiveEngineering;2,615
ImmersiveEngineering;2,711
ImmersiveEngineering;2,623
ImmersiveEngineering;3,747
ImmersiveEngineering;3,616
ImmersiveEngineering;3,595
ImmersiveEngineering;3,492
ImmersiveEngineering;3,645
ImmersiveEngineering;1,596
ImmersiveEngineering;1,625
ImmersiveEngineering;1,61
ImmersiveEngineering;1,731
ImmersiveEngineering;1,739
ImmersiveEngineering;2,551
ImmersiveEngineering;2,51
ImmersiveEngineering;2,506
ImmersiveEngineering;2,585
ImmersiveEngineering;2,541
ImmersiveEngineering;3,845
ImmersiveEngineering;5,438
ImmersiveEngineering;5,525
ImmersiveEngineering;5,071
ImmersiveEngineering;4,901
ImmersiveEngineering;3,299
ImmersiveEngineering;2,936
ImmersiveEngineering;2,647
ImmersiveEngineering;2,429
ImmersiveEngineering;2,507
ImmersiveEngineering;3,972
ImmersiveEngineering;3,816
ImmersiveEngineering;3,777
ImmersiveEngineering;3,989
ImmersiveEngineering;3,738
ImmersiveEngineering;4,062
ImmersiveEngineering;3,729
ImmersiveEngineering;3,784
ImmersiveEngineering;4,042
ImmersiveEngineering;3,898
ImmersiveEngineering;3,412
ImmersiveEngineering;3,382
ImmersiveEngineering;3,615
ImmersiveEngineering;3,501
ImmersiveEngineering;3,78
ImmersiveEngineering;3,952
ImmersiveEngineering;4,018
ImmersiveEngineering;3,961
ImmersiveEngineering;3,926
ImmersiveEngineering;4,009
ImmersiveEngineering;1,663
ImmersiveEngineering;1,689
ImmersiveEngineering;1,733
ImmersiveEngineering;1,752
ImmersiveEngineering;1,673
ImmersiveEngineering;1,835
ImmersiveEngineering;1,908
ImmersiveEngineering;1,918
ImmersiveEngineering;1,881
ImmersiveEngineering;1,89
ImmersiveEngineering;2,391
ImmersiveEngineering;2,451
ImmersiveEngineering;2,162
ImmersiveEngineering;2,318
ImmersiveEngineering;2,13
ImmersiveEngineering;1,531
ImmersiveEngineering;1,604
ImmersiveEngineering;1,51
ImmersiveEngineering;1,576
ImmersiveEngineering;1,48
ImmersiveEngineering;3,874
ImmersiveEngineering;4,112
ImmersiveEngineering;3,976
ImmersiveEngineering;3,963
ImmersiveEngineering;4
ImmersiveEngineering;1,709
ImmersiveEngineering;1,656
ImmersiveEngineering;1,706
ImmersiveEngineering;1,668
ImmersiveEngineering;1,618
ImmersiveEngineering;1,841
ImmersiveEngineering;1,875
ImmersiveEngineering;1,878
ImmersiveEngineering;1,839
ImmersiveEngineering;1,891
ImmersiveEngineering;2,306
ImmersiveEngineering;2,339
ImmersiveEngineering;2,296
ImmersiveEngineering;2,322
ImmersiveEngineering;2,287
ImmersiveEngineering;1,567
ImmersiveEngineering;1,593
ImmersiveEngineering;1,494
ImmersiveEngineering;1,562
ImmersiveEngineering;1,514
ImmersiveEngineering;3,632
ImmersiveEngineering;3,608
ImmersiveEngineering;3,766
ImmersiveEngineering;3,588
ImmersiveEngineering;3,648
ImmersiveEngineering;3,397
ImmersiveEngineering;3,419
ImmersiveEngineering;3,573
ImmersiveEngineering;3,515
ImmersiveEngineering;3,699
ImmersiveEngineering;3,685
ImmersiveEngineering;3,595
ImmersiveEngineering;3,621
ImmersiveEngineering;3,529
ImmersiveEngineering;3,612
ImmersiveEngineering;2,475
ImmersiveEngineering;2,435
ImmersiveEngineering;2,477
ImmersiveEngineering;2,411
ImmersiveEngineering;2,514
ImmersiveEngineering;3,335
ImmersiveEngineering;3,73
ImmersiveEngineering;3,552
ImmersiveEngineering;3,531
ImmersiveEngineering;3,602
ImmersiveEngineering;3,663
ImmersiveEngineering;3,56
ImmersiveEngineering;3,515
ImmersiveEngineering;3,613
ImmersiveEngineering;3,692
ImmersiveEngineering;3,444
ImmersiveEngineering;3,512
ImmersiveEngineering;3,652
ImmersiveEngineering;3,49
ImmersiveEngineering;3,739
ImmersiveEngineering;0,601
ImmersiveEngineering;0,652
ImmersiveEngineering;0,693
ImmersiveEngineering;0,643
ImmersiveEngineering;0,707
ImmersiveEngineering;0,538
ImmersiveEngineering;0,537
ImmersiveEngineering;0,53
ImmersiveEngineering;0,537
ImmersiveEngineering;0,544
ImmersiveEngineering;0,478
ImmersiveEngineering;0,488
ImmersiveEngineering;0,483
ImmersiveEngineering;0,47
ImmersiveEngineering;0,49
ImmersiveEngineering;0,498
ImmersiveEngineering;0,534
ImmersiveEngineering;0,49
ImmersiveEngineering;0,515
ImmersiveEngineering;0,471
ImmersiveEngineering;0,476
ImmersiveEngineering;0,449
ImmersiveEngineering;0,478
ImmersiveEngineering;0,436
ImmersiveEngineering;0,444
