project; merge commit ;ancestorSHA; left; right; hasInitializationBlock;  qtd_static
Activiti;a0f41e550844c36d42463956e2b5c0d6bac23462;a8e02a1276ace42646834dbb030b61e4b63905f3;2393a16ffd;4b8457ed11;modules/activiti-rest/src/test/java/org/activiti/rest/service/BaseSpringRestTestCase.java;2
Activiti;66364ce4321df5411c72f53269e4d9cc318cd140;6367b8cd126631b19398e45b3e620e8203aaa5d6;1187d8ae12;702d550e1c;modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java;2
Activiti;78c87cca2236d7cc61570eb5d473a1a36f35ec0e;715113fb25e3eaa18df0fdaf2df54211bf691fbe;60337c5ee9;d5ce0814dc;modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSessionFactory.java;2
Activiti;b0a0bccddb782936d5fe486df2c009e0db49cb4b;915ceb09ad665e83389dcb0a932086988101cb77;75236c2a76;155b508526;modules/activiti-json-converter/src/main/java/org/activiti/editor/language/json/converter/BpmnJsonConverter.java;4
Activiti;883dd1701327bece47da4f1184565af7c3bcd9e0;b8496b14d83702ef67a7ad4428030428b961a310;b5f8bc2c85;6df6fc1ea5;modules/activiti-json-converter/src/main/java/org/activiti/editor/language/json/converter/BpmnJsonConverter.java;4
Activiti;4e5a6b58f5783a33db07e2914e4524b109fd3d72;5c41140ab22bf562a88861174384a1a71b0f6413;e362debb2d;20d7ac1351;modules/activiti-rest/src/main/java/org/activiti/rest/service/api/repository/ProcessDefinitionCollectionResource.java;2
Activiti;6675bbeef23ca2343e399b16e75355bda91f8f1d;2fe6ea9b7c43faab1d9ba431ce65a582cdcf603b;677e1e0da2;5dd3e6b210;modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java;2
Activiti;ae97cf38b9367679c61688baed9fa9ae79bf4ce8;3f5eb709170abe2d8fddbf09ad3944c22f604241;eea8c87844;d5d6d92e45;modules/activiti-json-converter/src/main/java/org/activiti/editor/language/json/converter/BpmnJsonConverter.java;4
Activiti;0c4697b1495ae377850574d9449242136502629c;b6d721fdfcdda4f1f2578da27e68f6ff50d0cc33;d56eb632a6;4e56d61e33;modules/activiti-engine/src/main/java/org/activiti/engine/impl/bpmn/diagram/ProcessDiagramGenerator.java;2
Activiti;b9f1f2f54f158bbb7efa09e95b4defc2bf53a28b;1734000854cda038c6858695b56fca3dbc7f11ab;d1fe5c8f31;c42cc5b68c;modules/activiti-json-converter/src/main/java/org/activiti/editor/language/json/converter/BpmnJsonConverter.java;4
Activiti;8ebfad76f5ec953563388f6524c3897c1f3e4cea;72633b8a16a74ebf6fb73ecef2c6598bbcfb8670;702cf85975;fb3ee51dc6;modules/activiti-json-converter/src/main/java/org/activiti/editor/language/json/converter/BpmnJsonConverter.java;4
Activiti;702cf859758005df4d3a6fcbd641d192473042cc;dd65c4e940a5e71486d32fb91f30c0c734aa871d;1518e39eb9;f492ac55f0;modules/activiti-json-converter/src/main/java/org/activiti/editor/language/json/converter/BpmnJsonConverter.java;4
Activiti;1518e39eb96f8448e0b8030ff9d1179c6f09488c;fde120ffb40b49425b74ea21906eee069af7b9a6;5416b62fe4;116d7bc948;modules/activiti-json-converter/src/main/java/org/activiti/editor/language/json/converter/BpmnJsonConverter.java;4
Activiti;4421b3ce469e8e69867e84e6fe4cd15c1283f090;115e2eb8b104b8cb65031ad430c703f2681a5033;b2b6720bb0;fde120ffb4;modules/activiti-rest/src/main/java/org/activiti/rest/api/repository/DeploymentCollectionResource.java;2
