project; merge commit ;ancestorSHA; left; right; hasInitializationBlock;  qtd_static
ExoPlayer;d0db1114c6ae6ebf26f4f91bd1567d71c102ea75;81b194b28b66b8d6c701fcbe99dc46cbd4e1ac0d;0587a4f9c4;72a4fb082d;libraries/extractor/src/main/java/androidx/media3/extractor/text/webvtt/WebvttCueParser.java;4
ExoPlayer;494fc40810772977ee49457d9656da4fa1b5eda2;7df544d6cd440544a3cb2084a6c47efa262fa532;25e5680415;f1b37bc547;library/extractor/src/main/java/com/google/android/exoplayer2/text/webvtt/WebvttCueParser.java;4
ExoPlayer;f5dee4d30c929d0c984abded5df2352ce91ebf71;92e05bcd6608b48cc4d20974f55e6a9136274c33;82ca628ee4;b2333c86c1;library/rtsp/src/main/java/com/google/android/exoplayer2/source/rtsp/RtspMediaSource.java;2
ExoPlayer;a79b61f86bc9333e016996041e5a5a2067c89b23;b336df3ed321a5a4f4cfbec9e726581048e51419;75c8506a81;92e05bcd66;demos/cast/src/main/java/com/google/android/exoplayer2/castdemo/DemoUtil.java;2
ExoPlayer;8fa90b4cdefd5264f7432eb394312117c029e642;724ded167c973991eb58d49e3d0f2aa9be62ed2e;de895c4894;aeb306a164;library/core/src/main/java/com/google/android/exoplayer2/text/webvtt/WebvttCueParser.java;4
ExoPlayer;7e8abc439cbd31928c22a105be6b031d18b47ebb;724ded167c973991eb58d49e3d0f2aa9be62ed2e;0f7ef1ea60;aeb306a164;library/core/src/main/java/com/google/android/exoplayer2/text/webvtt/WebvttCueParser.java;4
ExoPlayer;cfb429d131a5732355742553b36cb9e91f59c30e;76962d50f1d80941d6768e4e765fa4ff010705e7;74c493f51e;e822196336;library/core/src/test/java/com/google/android/exoplayer2/source/SampleQueueTest.java;2
ExoPlayer;4a4aa16d41942c91ac9b02972a059202bb150fdd;2a0ead1b295c3ac2ad5e4ddc42913331a0616aa5;a4a9cc9fd0;33938c05b5;library/core/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java;2
ExoPlayer;3609a7ebba509957d385b5b78bfce9e3c1a8572b;10f3b8db6ed5c920188c66eb87637ea4b16e1ad1;b626dd70c3;faecef0bef;library/core/src/main/java/com/google/android/exoplayer2/offline/DownloadHelper.java;2
ExoPlayer;5dade716090113644be46dcf3baff41c2656e45e;340501246b7fce18559f65be811e556c575992cd;099cc384a8;eb9c67fbc5;library/core/src/test/java/com/google/android/exoplayer2/text/webvtt/WebvttSubtitleTest.java;6
ExoPlayer;0425ff6d417563f1e08e197919651eccbc6d6f61;13732fe618c4e2c1da2ec758c8b8ee4c4dc5ff99;deb9b301b2;427411befb;library/core/src/main/java/com/google/android/exoplayer2/drm/HttpMediaDrmCallback.java;2
