project; merge commit ;ancestorSHA; left; right; hasInitializationBlock;  qtd_static
graal;441b7943a4907191788f6b1b6b9b081784cb7369;f1f6f7452a2c487502f6bd6ee96a1e2aeecb7c9c;6d20de02872;e1c63a147d4;substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/thread/ThreadData.java;2
graal;0e1ade5005e02e01913157304449891b712580ef;5ad0dc94bf20f2a4c88ef469dcd2ef82f62000e9;f8dbbac1198;16c2ffcd445;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/GraalHotSpotVMConfig.java;18
graal;067f1737639d34955a020b83ad62865fa4bb5227;678de5c590f246b3a4458b479d733dce7b3936a3;b857cb3d380;7c8cf2db056;substratevm/src/com.oracle.svm.test/src/com/oracle/svm/test/AbstractClassSerializationTest.java;2
graal;ae46a240aa06ac95ea946e9f7a691f6b7f16be2e;839b4a667546ba9690fff41df1e1fae84e6b1b75;f8365c56558;12869fc6c30;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/meta/HotSpotGraphBuilderPlugins.java;2
graal;2fec9f7505040461dad55592d05fa5ecfe9c71fa;dff76ed3958669b80c6d20c881fcd5eb448c633c;280594dd638;b02b0adca91;compiler/src/org.graalvm.compiler.word/src/org/graalvm/compiler/word/Word.java;4
graal;8e06a2b30261c8e962ab9972db333cf2f418a51a;806ee9ea81650cfca034868edd427ea6ebe327bc;f1fe7e9a4ce;8d70605a5ec;compiler/src/org.graalvm.compiler.truffle.runtime/src/org/graalvm/compiler/truffle/runtime/GraalFrameInstance.java;2
graal;317cfb9ac091f279f567dc379c6e50cd6265e5da;145f116a1aa41d260ab98eaf7a8a23fd2391dd88;e02135ef066;38f8062d92e;substratevm/src/com.oracle.svm.truffle.tck/src/com/oracle/svm/truffle/tck/PermissionsFeature.java;4
graal;211f49891d9b510c860b8d581b1a4a187b0583ef;d6fa468f4b801b141f209cb337977a95d0bae73d;069c60da4fe;3d12e199361;regex/src/com.oracle.truffle.regex/src/com/oracle/truffle/regex/tregex/parser/RegexParser.java;2
graal;db4c6ac7b8bdb1d551148840f43feb766b62499f;fba9ba6f05f4a69856c8b1dbecb6b9d9d1534dca;6e447c2ff9e;63b9e4b5a87;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/GraalHotSpotVMConfig.java;16
graal;78999817797ef0d95920d78ba4efd026db4fbdd8;aa6c3bde8cbcdf5a489f79a9ec2f3c97924f1bbd;874d20a9bde;b92084888b0;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/GraalHotSpotVMConfig.java;16
graal;319c6d7fe40eab9041020498670aaf19e87e06d3;2d9beb0f8f1ebd6dacda9fa40fb236a792ded7d3;af6bf7d3be2;f9e5622ae5b;truffle/src/com.oracle.truffle.object/src/com/oracle/truffle/object/DynamicObjectBasic.java;2
graal;72c8bb2b56033a985c944cef45f92ce04cba421c;7473abebcc67f79d282100b935f546a9e1ab0ac7;07b68635da0;c7f9c2871e5;substratevm/src/com.oracle.svm.hosted/src/com/oracle/svm/hosted/phases/SubstrateClassInitializationPlugin.java;2
graal;50a77615977295d004d5355ab8c4be786751e44e;4e24240f8099e2ac7abb0ec409e33b10935ef466;8308f049194;0bbfa597859;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/GraalHotSpotVMConfig.java;14
graal;4e24240f8099e2ac7abb0ec409e33b10935ef466;4662877b8ce214528f09553f21776ab97e97c1a8;38b4cb8a272;d8fbd13c61d;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/GraalHotSpotVMConfig.java;12
graal;7c5606a1bbe9d2db765c879c151256f0523c056c;924c8d07c613a7465e8b77abd33a666f16f5666f;0bd3a7b20c3;d997fa57a35;sulong/projects/com.oracle.truffle.llvm.runtime/src/com/oracle/truffle/llvm/runtime/debug/debugexpr/parser/antlr/DebugExpressionParser.java;6
graal;3d90d6748792911ccd7aa60fc2995ae1760dbe60;6823deea3ab81f226a9b3742f6bfc2813fd6ce88;3d37337de99;4294c2cb358;src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/runtime/StaticObject.java;4
graal;68556b2bcc2dfd0b666558a68824d59b88cb660e;f00cdfd27542b609ec74a9b53e3fed45d4031107;046f385029c;11f96e72200;sulong/projects/com.oracle.truffle.llvm.asm.amd64/src/com/oracle/truffle/llvm/asm/amd64/InlineAssemblyParser.java;6
graal;1195baec51aca917e1ce3069529c78e0ccad8328;bb949078250de15ac87b4d11d7064f58c38051da;b8f10c7097f;e822da8e8ef;compiler/src/org.graalvm.compiler.asm.sparc/src/org/graalvm/compiler/asm/sparc/SPARCAssembler.java;4
graal;d86c66a8e59e257a30b41404a232af46b27e15a0;627aa80b55a4fb4319f9dec39fd6eaf2cc8dc38d;657f03a542d;f5a2b9320d1;sulong/projects/com.oracle.truffle.llvm.asm.amd64/src/com/oracle/truffle/llvm/asm/amd64/InlineAssemblyLexer.java;6
graal;bd3a08267565ae3b8f8aa617bfc817a0068d2fee;ba7c71bde81e6773b1bbb9d070e1c655bd3ca16f;48586466be2;6a4e612fe64;src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/runtime/StaticObject.java;4
graal;05fdbe0c5ee0750f10c4ab6d9aa8ba2217882128;0e26a8a86617f4f590fb804232e1eeb0fbd42c02;11ae9db6d22;967a4a736e0;src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/runtime/StaticObject.java;4
graal;6ef1e5dd90ca64782dcf27011a625e68caf73f0e;e6847af629b48de1f71de099069696831e357dda;dde3d6fdd57;80876773f4f;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/GraalHotSpotVMConfig.java;4
graal;5d86c0ce1041d6d0ce0377e696a7c86521112da4;3770a4fe7acf8fe5f7c92beba3a0775754b9df82;a1f4452817a;8022dd7cc0b;compiler/src/org.graalvm.compiler.hotspot/src/org/graalvm/compiler/hotspot/GraalHotSpotVMConfig.java;4
graal;ee1c37d29c8c84b0e0f6da5311a56a606d98377a;f4410656173ccab872d1f78301131197a1eb280d;82faf2c77c6;793c4022c4e;src/com.oracle.truffle.espresso/src/com/oracle/truffle/espresso/bytecode/Bytecodes.java;4
graal;9c5da2f3efd7458cec5ecb949c744e0d116eedf9;0383106c7bdf8683880286af9b5d6745a214a618;4839d4720e8;b13841b0842;substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/JavaMainWrapper.java;4
graal;071c0cba5c8094e5f471a50518714e933a715ad0;9bf3961f347afd34ec27a116b412408b28d735d5;08c3185f23b;470fb3507fc;substratevm/src/com.oracle.svm.core/src/com/oracle/svm/core/jdk/LocaleSubstitutions.java;4
graal;d49fde5ef2823f17e47330892056d8ae6bbfae3c;cbf25bede44e0eddb6942c7b2b8965f044f38695;a949cae95e6;bf551819890;sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/Launcher.java;4
graal;1dbf9d3d673dca4c013a085b3159f6ee45ed13c1;f98397e9512964debc40619fa3d7966cc52440ec;187fcb14548;18e44d82869;compiler/src/org.graalvm.compiler.serviceprovider/src/org/graalvm/compiler/serviceprovider/GraalServices.java;2
graal;f8267e1115b706aa9e64ee35cc676a0d1858bb37;b980f880ff8df8150340c8c73f50ce02f28106aa;1f4bd795f49;ba231b204d7;truffle/src/com.oracle.truffle.api.vm/src/com/oracle/truffle/api/vm/PolyglotEngine.java;4
graal;266dc77c55fc9ebe92e250f2cbe2195e4a7bb252;1f2fbfb014677bd1f16bcb98ebe998e904a5a7b9;57430f89964;9f6563c660b;sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/Launcher.java;4
graal;f1ea8d21556d3031e542d4d7609266a1affdb2ac;d51eae916037140386fdf684e83179fd0eca5e10;ef35aabbd47;73849375236;sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/Launcher.java;4
graal;12d8cbfe53297ca7ed18d68a2855a3cfdd756ff0;5bcde8ca2018143de5977b8058c42903f5319ed3;16c2edd012d;aaafb973a82;sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/Launcher.java;4
graal;ce4b07ec76bef2a7a507e3a5bb1fc37fb56f1a78;2a05da486c2f46cc631ce697a24ca0858fb16d7f;a3b98199842;c4cfad42228;truffle/src/com.oracle.truffle.api.vm/src/com/oracle/truffle/api/vm/PolyglotEngine.java;4
graal;5ac0953e7258a071af3b271598537c9dabddf17d;a6957d3bbe0abc8d2e2fbd5269872384bf016c50;36b6aff309f;2a05da486c2;truffle/src/com.oracle.truffle.api.vm/src/com/oracle/truffle/api/vm/PolyglotEngine.java;4
graal;9ac9834bd69bab1627fda819aa87593298ecc9d8;caf067b72c009e26750a063b1d8e47340f180a4b;25d2af60722;ef98649f175;sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/PolyglotLauncher.java;3
graal;90b294f092d76a8c5ebe662c0c148ae6cb36697a;899386d13a0a8388d8b876fb8afda942bbe5585b;2b84fafc399;2194d201b98;truffle/src/com.oracle.truffle.api.vm/src/com/oracle/truffle/api/vm/PolyglotEngine.java;4
graal;24862e948e8120d4005430a6b1c25a31f7107683;09ff03bd703c473aa1495f7386801cfca4326fff;d1316043199;f17a612720d;sdk/src/org.graalvm.launcher/src/org/graalvm/launcher/Launcher.java;4
graal;f684c8409f61186e1f96d4e4328a1b2342722da7;9242534a70edee732edfe8f2b2f2f4a39601cb12;5b76eda239c;dbda094b6f1;truffle/src/com.oracle.truffle.api.vm/src/com/oracle/truffle/api/vm/PolyglotEngine.java;4
