project; merge commit ;ancestorSHA; left; right; hasInitializationBlock;  qtd_static
processing;0ac37bca1d0c7c12667a9c0628fba63b31c1f135;d6b30602a703e1d0280392c54794486ee34bca8c;83fe79dc5;f923be3fa;core/src/processing/core/PApplet.java;4
processing;8604c29b633c90f251934d739dd661d51632724e;9b9ab933c8eabd6c91df66e32471fd28b817d738;7f56bbd04;e6d8d27b8;core/src/processing/core/PApplet.java;4
processing;326557eef27605073521fc9a6a4901a2307da103;9b9ab933c8eabd6c91df66e32471fd28b817d738;61fdb07c1;1b3d72eb2;core/src/processing/core/PApplet.java;4
processing;1f3420521d30d1a593dc082566b97d128a13ce07;ae210ddb629df336dbbfdf99e626977f9f1b8f98;545635f2c;57c05e2ad;core/src/processing/core/PApplet.java;4
processing;b6e3dce86d1e4fa7ccb8a5e3b50ede83c5bcb20d;5573150d39208af6bff7398d023df27449832ddb;e2b1c380f;ac041b960;core/src/processing/core/PApplet.java;4
processing;f41c655db32c10d4bd685e5424b5e6b6dbe703ef;6acabc40796d95e4e542b99856f2370e5e7a6a4d;707703260;008bbc80d;core/src/processing/opengl/PJOGL.java;6
processing;bdd2fbea315de6210c891451f300ee5215fcb0ff;a9dd1b421bbc2ce2e55b206760a2047843f74be1;7adcba2c9;8d7c5370a;app/src/processing/app/Base.java;6
processing;79319fe4bdeaf36e858948694c050b5b355ab73f;acf67c8cb58d13827e14bbeeec11a66f9277015f;792ccbfd5;b67a86c38;app/src/processing/app/Base.java;6
processing;06ccababc8c2b80fe076d028e5ba4168c27b51b0;e92536bec48c02ebdc826b7d93654273a4e4fd46;5cbb75e2c;acf67c8cb;app/src/processing/app/Base.java;6
processing;ba0fbd63e8512c3ce0a39b1b6225f434aa4e0be2;7f349bd3136e528398b3140b21f9871082641520;c00cdd513;33d6936a4;core/src/processing/opengl/PJOGL.java;6
processing;335547a0a8a561b832bd8819e097d540d448c804;8dfd6b08e2e014dad1b51927409c96814d69aa40;957326d87;cb3c8b358;app/src/processing/app/Base.java;6
processing;7f2d1aa6d0a7b4aaac60d58c1a4197384c4ca011;3f471fc5ca322a056436952c7845cf3987bb8212;3df388235;20bff2c42;app/src/processing/app/Base.java;6
processing;63995b7a28f5e1b304f460bd9b4e490aed0b4ff3;7be72512bf5781af5bb099e6b22ec543fdfb67f2;02161b2e4;90dce349f;core/src/processing/opengl/PJOGL.java;6
processing;d0ada453ae152aee7437809789913e11f19ac31d;cc5febefa99affa07e4b735d08085cd1ed87880e;7004f8ebd;582832bbb;core/src/processing/opengl/PJOGL.java;8
processing;9dc3bfa270838d67f57cecf69050f69e43737271;5972c449d66333c1f1f2151f88657fe79c143ccd;798806335;cd23a3240;core/src/processing/opengl/PJOGL.java;8
processing;798806335d233e6a8bb01f9841c6373bf88b7a36;b785e1d67e766bb1dbfb38801def85cc5d75d012;4f3168b02;7a19fefde;app/src/processing/app/Base.java;6
processing;b489a1a95ecfa841ead5365efcb023ce7e2136f4;83c4e20943990ba26d97031ff425cbb6642cef04;174902b5d;408848f47;app/src/processing/app/Base.java;6
processing;6a4adfb82e03aaf99e0dadf8e11bcc95526ba63f;fa0a8c257abd5f67b5eedf3d2e14089f55c770c4;34182d05d;eb26ac5bc;app/src/processing/app/Base.java;6
processing;03e00ac108e9668a6b709a39c248d80a8ae404fc;cfa677a2d805df72ccf1b302573ab8312cd5d807;2c2539e49;fa0a8c257;app/src/processing/app/Base.java;6
processing;7ecaf958f6729aee2cad4f369528a5ed5fd23409;7bda7ecf3d24a8452b9a96afde30be387c555362;0cdeefb56;7257fab78;app/src/processing/app/Base.java;6
processing;229f40834dcd14eaf73adda2f32b061b96098968;3c5b3fa6b6f71cb5de9ea3f6386b3785dfc3cf1a;582750322;2368391e8;app/src/processing/app/Base.java;6
processing;2368391e875c12d4bf9468c3a96d4c612a3f958c;ee84462c44dc60afd8be19ddbec437a37aaca98d;3c5b3fa6b;a1dd1cf9c;app/src/processing/app/Base.java;6
processing;d8b7813f7f38fdb7f499584d2a7135a48366aa09;636f2536baadd94f84d88d14431f954eebd2e7d1;3fb6c863e;a0709a887;core/src/processing/opengl/PJOGL.java;8
processing;24c797ecf0a3a9d3cb32058f711b00599a31d579;175c1110d2a696bfcd66b9d7b930ec975d5e59c6;a307092d7;5acd0c1d1;app/src/processing/app/Base.java;6
processing;6b334aa1757998a4c369f82175ce93e7f1ae1204;48e986d3c3e48c275fbb5058d1950e2e7210db7f;06507386f;4dfc525d2;core/src/processing/core/PApplet.java;4
processing;06507386f9d2fe170fc1155c6a0760fac2c6b310;3ad1f6528d21cba7f648f1dfac6ea13e55096844;f8b398191;9add6d893;core/src/processing/core/PApplet.java;4
processing;394c38de02ccd50468e9314d4356a5210d0ff370;b69ba8a40702db52e6d2052f9ab7b6eb885db4e2;3e81014db;e735f8457;app/src/processing/app/Base.java;6
