project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of GitMergeFile conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of GitMergeFile for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = GitMergeFile output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = GitMergeFile output,SimpleInitializationBlockHandler output = Actual output,GitMergeFile output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = GitMergeFile conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = GitMergeFile conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts,GitMergeFile conflicts = Actual conflicts
jenkins,fe5e50efbaa044fc024a14df718d4f78e1f0f671,Jenkins,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,de59d930ad96e900d7994c6193b3af732fd110b7,Jenkins,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,2c27c852b3ac7386b01ea67d3b730a8e85280bd0,Jenkins,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,22fcc54bd3879c765b5595371e57fd180860daff,Jenkins,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,0fd55bd6b50fcdf27368c6b771fb3d8363a24f83,Jenkins,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,ConfidentialStoreRule,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,UpdateCenter,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,8f61155846fc92536af55f2332dea3db052f3a91,Secret,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,0dc475a1dfef6c51c0ecf589eff226d414cba394,UpdateCenter,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,c77a8cb6ce991fab68ec36fefa21605fd53a0bbd,UDPBroadcastThread,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,c77a8cb6ce991fab68ec36fefa21605fd53a0bbd,UpdateCenter,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
jenkins,0b27ad2705fe335afcf8d1bda3a6e7ee6d8818a4,UpdateCenter,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
