project,merge commit,file,number of InsertionLevelInitializationBlockHandler conflicts,number of SimpleInitializationBlockHandler conflicts,number of GitMergeFile conflicts,number of Actual conflicts,number of InsertionLevelInitializationBlockHandler for initialization block conflicts,number of SimpleInitializationBlockHandler for initialization block conflicts,number of GitMergeFile for initialization block conflicts,number of Actual for initialization block conflicts,InsertionLevelInitializationBlockHandler output = SimpleInitializationBlockHandler output,InsertionLevelInitializationBlockHandler output = GitMergeFile output,InsertionLevelInitializationBlockHandler output = Actual output,SimpleInitializationBlockHandler output = GitMergeFile output,SimpleInitializationBlockHandler output = Actual output,GitMergeFile output = Actual output,InsertionLevelInitializationBlockHandler conflicts = SimpleInitializationBlockHandler conflicts,InsertionLevelInitializationBlockHandler conflicts = GitMergeFile conflicts,InsertionLevelInitializationBlockHandler conflicts = Actual conflicts,SimpleInitializationBlockHandler conflicts = GitMergeFile conflicts,SimpleInitializationBlockHandler conflicts = Actual conflicts,GitMergeFile conflicts = Actual conflicts
realm-java,f55c2eac027a42bd310f2750eb944750108199f1,RealmObjectSchema,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,1923c11018c5bdec5756f32f9a092dca20c95bb3,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,8a7a42e6b8646f17aa9534232b028c09e23465c8,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,de1e8b9611845e161cfe989351fb48012c750e3b,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,02b89a14d99404b1cb7417901a4340b6aa4a69c1,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,f1e87bc607ec4a0598c786966e0c1a5c36af1914,RealmObjectSchema,3,3,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,86c8fa5e63ac2166f2805495a605b4873daa40af,RealmJsonTypeHelper,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,86c8fa5e63ac2166f2805495a605b4873daa40af,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,86c8fa5e63ac2166f2805495a605b4873daa40af,ObjectServerFacade,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,86c8fa5e63ac2166f2805495a605b4873daa40af,Constants,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,3e1310755be871ec120633637f17afe3a439f4bc,ObjectServerFacade,1,1,0,0,1,1,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,38c90e5e885158e1b4cbae570b0a65f894b91f1e,ObjectServerFacade,1,1,0,0,1,1,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,8f735c63da0a65c6f331c8134d5a2f1bf5a3ddac,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,a42ae3a926faa7fd5486e5aab9e17813b5699706,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,4470f18dd3cd4f5bd8ee85c58327c63030ce0bec,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,f034db6a3357b79d1eec6806e47ce52931dbf33e,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,c79a4668e46bc8b2713be1e3a87dd9213cb215de,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,da21c0e578a879624f1535f02484df2d1750576a,BaseRealm,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,c6d3734ed26b83e4bff407dc19f0e621c8a5a285,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,be38d6b93b0ed753b5238b514d7a46aebe2d9a41,RealmObjectSchema,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,fca44870b40e9b26d713ff83eab4f12190ae5086,Util,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,fca44870b40e9b26d713ff83eab4f12190ae5086,Group,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,fca44870b40e9b26d713ff83eab4f12190ae5086,SharedGroup,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,db48fa333fbfca35cd0598443be72dfaff148c44,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,40e422cbf0628ab04cd68508abd7f793c464b0cf,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,8c842ff501647d630b4e45645008001bf937b5a7,RealmProxyClassGenerator,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,4801a35d4a578e3495d4a2185cc5cffcde15ce08,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,53cc9e9410526c041d4c71a0b2bd9aba492340d2,RealmProxyClassGenerator,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,60a020ba1cfe43adeb2ebc44eb7ff050430fabcc,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,e028759d0cc4925871060751a8353a7831c1c4df,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,30ba29f39a4d3b598139e20e799859e92b5a373a,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,68ec0c09562a2e34e49cb02c4888aa60133ddba6,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,99868947286eb090fff47d0027597dcf3ef707d2,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,5f8cb0c1892ac00f6638cd87f33ee8b417a0afac,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,5a17b3bf49c74b10f1c17aaf9d477c23019bc762,RealmProxyClassGenerator,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,72da5ad776b2b5be81663ebdc849c3fcfe06bb51,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,5932293e3c02350bb01c8e52f930c8b25a91f397,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,dc9daea196f5783a0f67313259991fcb45d0c620,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,0837933af263b2d1b6f8911d464328ff4777f860,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,fa982b07c69aca919e4483d4b15c1bdc1039b993,RealmProxyClassGenerator,3,3,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,29817900846e057ca8eac76f20fbb1122ed86675,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,44bd54871648cf4cb57e9605995935a6d88e69d7,RealmProxyClassGenerator,8,8,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,8a424e815ddd465f32e56ac01a483372600e524c,RealmProxyClassGenerator,3,3,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,027ffd4f5ca19885015d3666e9a45dffc12315a7,RealmProxyClassGenerator,2,2,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,9a75cac239f825c080dd471c8fb92a514515970d,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,c46ebfb6b0b0ca14505cb6281d78d48f0632371c,RealmProxyClassGenerator,6,6,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,670b91040f5dfd50493a12c686700a789ad8f64c,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,199889b65b66ad7c2edf8781bfda0ef7170e9372,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,852d073aeb00396f8ee6bd9e74876fc9cb712456,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,c1e012aff6ff73136d079eac4ae1a946af0a2e35,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,2811b8980c8a69dbd51f2e4957cd91fe9577878c,RealmProxyClassGenerator,0,0,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,be2464f1cd9924019524fe8c44c6b32482e6472b,RealmProxyClassGenerator,3,3,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
realm-java,0393fbf3112e9f78e6b0ed278dfc1e3b7ff5465a,RealmProxyClassGenerator,1,1,0,0,0,0,0,0,true,false,false,false,false,true,true,false,false,false,false,true
